Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Korean,"2322 Bloor Street W
Toronto, ON M6S 1P2",Ka Chi,(416) 533-9306,$11-30,,https://www.yelp.ca/biz/ka-chi-toronto-5,43.650451,-79.480097
Korean,"656 Bloor Street W
Toronto, ON M6G 1K9",Hodo Kwaja,(416) 538-1208,Under $10,hodokwaja.ca,https://www.yelp.ca/biz/hodo-kwaja-toronto,43.664295,-79.415557
Korean,"105 Victoria Street
Toronto, ON M5C 3B4",Bob’s Bulgogi,(416) 546-6515,Under $10,,https://www.yelp.ca/biz/bobs-bulgogi-toronto,43.652139,-79.377507
Korean,"680 Bloor Street W
Toronto, ON M6G 2T9",Lim Ga Ne,(416) 551-0686,$11-30,,https://www.yelp.ca/biz/lim-ga-ne-toronto-3,43.664045,-79.416758
Korean,"605 Bloor Street W
Toronto, ON M6G 1K6",Hancook Cheese Dakgalbi,(416) 516-1222,$11-30,hancookcanada.com,https://www.yelp.ca/biz/hancook-cheese-dakgalbi-toronto-2,43.664598,-79.41312
Korean,"694 Bloor Street W
Toronto, ON M6G 1L4",Paldo Gangsan,(416) 536-7517,Under $10,,https://www.yelp.ca/biz/paldo-gangsan-toronto,43.663799,-79.417393
Korean,"72 Gerrard Street W
Toronto, ON M5G 1J5",Epicure City BOM,(416) 971-5882,$11-30,,https://www.yelp.ca/biz/epicure-city-bom-toronto-2,43.658513,-79.385191
Korean,"8 Saint Andrews Street
Toronto, ON M5T 1K6",Ka Chi,(416) 597-1999,Under $10,,https://www.yelp.ca/biz/ka-chi-toronto-2,43.654288,-79.399123
Korean,"1989 Danforth Avenue
Toronto, ON M4C 1J7",Cafe Cocoro,(416) 358-9862,Under $10,cafecocoro.ca,https://www.yelp.ca/biz/cafe-cocoro-toronto,43.685099,-79.314914
Korean,"710 Yonge St
Toronto, ON M4Y 2B3",Kobi Korean Restaurant,,$11-30,,https://www.yelp.ca/biz/kobi-korean-restaurant-toronto-2,43.668188,-79.386203
Korean,"950 Eglinton Avenue W
Toronto, ON M6C 2C3",Bi Bim Bap,(416) 787-7423,$11-30,stonebowl.ca,https://www.yelp.ca/biz/bi-bim-bap-toronto,43.700534,-79.42872
Korean,"5 Northtown Way
Unit 5
Toronto, ON M2N 7A1",Go Topoki,(416) 551-2162,$11-30,gotopoki.com,https://www.yelp.ca/biz/go-topoki-toronto,43.774884,-79.414001
Korean,"687 Yonge Street
Toronto, ON M4Y 2B2",Miss Korea,(647) 748-9100,$11-30,misskorea.ca,https://www.yelp.ca/biz/miss-korea-toronto,43.668936,-79.386217
Korean,"214 Queen Street W
Toronto, ON M5V 1Z2",Korean Grill House,(416) 263-9850,$11-30,koreangrillhouse.com/queen-un…,https://www.yelp.ca/biz/korean-grill-house-toronto-2,43.650559,-79.389384
Korean,"50C Clinton Street
Toronto, ON M6G 2Y3",DOMA,(416) 551-1550,$31-60,domatoronto.com,https://www.yelp.ca/biz/doma-toronto-3,43.655478,-79.414277
Korean,"726 Bloor Street
Toronto, ON M6G 1L4",The Manna,(416) 534-5441,Under $10,,https://www.yelp.ca/biz/the-manna-toronto,43.663861,-79.418252
Korean,"586 Bloor St W
Toronto, ON M6G 1K4",Kimchi House,(416) 900-0772,$11-30,,https://www.yelp.ca/biz/kimchi-house-toronto-4,43.664958,-79.41275
Korean,"5130 Dundas Street W
Toronto, ON M9A 1B9",Cho Dang Soon Tofu,(416) 234-1161,Under $10,,https://www.yelp.ca/biz/cho-dang-soon-tofu-toronto,43.644161,-79.533013
Korean,"3220 Dufferin Street
Toronto, ON M6A 2T2",Seoul House,(416) 782-4405,$11-30,,https://www.yelp.ca/biz/seoul-house-toronto,43.719171,-79.455841
Korean,"142 Dundas Street W
Toronto, ON M5G 1C3",Bapbo Korean Restaurant,(647) 352-3312,$11-30,bapbokorean.com,https://www.yelp.ca/biz/bapbo-korean-restaurant-toronto-2,43.655606,-79.384966
Korean,"4862 Yonge Street
Toronto, ON M2N 5N2",Han Ba Tang,(416) 546-8218,$11-30,hanbatang.ca,https://www.yelp.ca/biz/han-ba-tang-toronto-2,43.762928,-79.411511
Korean,"5529 Yonge Street
Toronto, ON M2N 5S1",Lim Ga Ne,(647) 435-2700,$11-30,,https://www.yelp.ca/biz/lim-ga-ne-toronto-2,43.778478,-79.414991
Korean,"598 College Street
Toronto, ON M6G 1B4",Bi Bim Bap,(416) 616-2028,$11-30,stonebowl.ca,https://www.yelp.ca/biz/bi-bim-bap-toronto-2,43.655262,-79.414142
Korean,"1101 Finch Avenue W
Unit 4&5
Toronto, ON M3J 2C9",Hansik Korea,(416) 650-1212,$11-30,hansikkorea.com,https://www.yelp.ca/biz/hansik-korea-toronto,43.768738,-79.4696
Korean,"3323 Lake Shore Boulevard W
Toronto, ON M8W 1M8",Tasty Korea,(647) 748-7577,,tastykorea.ca,https://www.yelp.ca/biz/tasty-korea-toronto,43.596406,-79.524976
Korean,"4846 Yonge Street
Toronto, ON M2N 6B1",Lee Nam Jang,(416) 512-1345,$11-30,,https://www.yelp.ca/biz/lee-nam-jang-toronto,43.762475,-79.411543
Korean,"19 Finch Avenue W
Unit A
Toronto, ON M2N 7K4",Huh Ga Ne,(416) 901-1288,$11-30,huhgane.com,https://www.yelp.ca/biz/huh-ga-ne-toronto,43.779169,-79.417247
Korean,"The Path - the Lanes
Toronto, ON",Bibap Express,,Under $10,,https://www.yelp.ca/biz/bibap-express-toronto,43.648933,-79.382865
Korean,"612 Bloor Street W
Toronto, ON M6G 1K7",Mom’s Korean Food,(647) 748-2988,Under $10,momskoreanfood.com,https://www.yelp.ca/biz/moms-korean-food-toronto,43.664686,-79.413785
Korean,"544 Yonge Street
Toronto, ON M4Y 1Y8",The Fry,(647) 748-2299,$11-30,,https://www.yelp.ca/biz/the-fry-toronto-4,43.664253,-79.384437
Korean,"199 Bay Street
Toronto, ON M5L 1G5",Koha Pacific Kitchen,(647) 350-5642,,kohakitchen.com,https://www.yelp.ca/biz/koha-pacific-kitchen-toronto-3,43.648179,-79.379506
Korean,"15B Finch Avenue W
Toronto, ON M2N 7K4",Mr Chu,(647) 241-1889,Under $10,mrchutoronto.business.site,https://www.yelp.ca/biz/mr-chu-toronto,43.779213,-79.417089
Korean,"754 Yonge Street
Toronto, ON M4Y 2B6",Korean Grill House,(416) 922-3328,$11-30,koreangrillhouse.com,https://www.yelp.ca/biz/korean-grill-house-toronto,43.669261,-79.386808
Korean,"Scadding Court Community Centre
707 Dundas Street W
Toronto, ON M5T 2W6",Kim’s À La Cart,,,scaddingcourt.org/market_707,https://www.yelp.ca/biz/kims-%C3%A0-la-cart-toronto-2,43.651766,-79.404965
Korean,"4664 Yonge St
Toronto, ON M2N 5M1",4AM Bar & Lounge,(416) 901-4084,,,https://www.yelp.ca/biz/4am-bar-and-lounge-toronto,43.757918,-79.41047
Korean,"45 Baldwin St
Toronto, ON M5T 1L1",Hana Korea Restaurant,(416) 979-9453,Under $10,,https://www.yelp.ca/biz/hana-korea-restaurant-toronto,43.655822,-79.393727
Korean,"414 Dundas Street W
Toronto, ON M5T 1G6",Ka Chi,(416) 598-3222,$11-30,,https://www.yelp.ca/biz/ka-chi-toronto-3,43.653717,-79.395027
Korean,"675 Bloor Street W
Toronto, ON M6G 1L3",PAT Central Market,(416) 532-2961,Under $10,patmart.net,https://www.yelp.ca/biz/pat-central-market-toronto-2,43.663931,-79.416272
Korean,"642 Bloor Street W
Toronto, ON M6G 1K9",Barrio Coreano,(416) 901-5188,$11-30,,https://www.yelp.ca/biz/barrio-coreano-toronto,43.664524,-79.415067
Korean,"6070 Yonge Street
Toronto, ON M2M 3W6",Drunken Chicken,(416) 512-0488,,,https://www.yelp.ca/biz/drunken-chicken-toronto-2,43.790511,-79.418739
Korean,"5 Northtown Way
Unit 10
Toronto, ON M2N 7A1",Roll,(416) 512-8788,Under $10,,https://www.yelp.ca/biz/roll-toronto,43.775179,-79.414033
