Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Breakfast & Brunch,"507 Church Street
Toronto, ON M4Y 2C9",Crêpe It Up,(416) 916-3558,Under $10,crepeitup.com,https://www.yelp.ca/biz/cr%C3%AApe-it-up-toronto-4,43.666046,-79.380887
Breakfast & Brunch,"120 Adelaide Street W
Toronto, ON M5H 1T1",Bagel & Co,(416) 365-0904,Under $10,,https://www.yelp.ca/biz/bagel-and-co-toronto,43.6489,-79.383573
Breakfast & Brunch,"401 Bay Street
Toronto, ON M5H 2Y4",Bannock,(416) 861-6996,$11-30,bannockrestaurant.com,https://www.yelp.ca/biz/bannock-toronto,43.651729,-79.381389
Breakfast & Brunch,"693 St. Clair W
Toronto, ON M6C 1B2",Baker and Scone,(416) 657-2663,Under $10,bakerandscone.com,https://www.yelp.ca/biz/baker-and-scone-toronto-2,43.681474,-79.426097
Breakfast & Brunch,"1870 Danforth Avenue
Toronto, ON M4C 1J4",Melanie’s Bistro & Patisserie,(416) 422-1870,$11-30,melaniesbistro.ca,https://www.yelp.ca/biz/melanies-bistro-and-patisserie-toronto,43.684941,-79.317243
Breakfast & Brunch,"Bay and Elm
Toronto, ON M5G",The Eggman,(647) 588-0323,Under $10,eggman.ca,https://www.yelp.ca/biz/the-eggman-toronto,43.657305,-79.384355
Breakfast & Brunch,"1062 Gerrard Street E
Toronto, ON M4M 1Z8",Sugar Loaf,(647) 341-9383,,Www.sugarloafbakery.ca,https://www.yelp.ca/biz/sugar-loaf-toronto-3,43.669307,-79.335864
Breakfast & Brunch,"28 Gristmill Lane
Toronto, ON M5A 3C4",Cacao 70,(416) 216-8686,$11-30,cacao70.com,https://www.yelp.ca/biz/cacao-70-toronto-2,43.65016,-79.360629
Breakfast & Brunch,"70 Yorkville Avenue
Toronto, ON M5R 1B9",Flo’s Diner,(416) 961-4333,$11-30,flosdiner.ca,https://www.yelp.ca/biz/flos-diner-toronto,43.671353,-79.390966
Breakfast & Brunch,"1093 Bathurst Street
Toronto, ON M5R 3G8",Apollo 11 Restaurant,(416) 532-5675,Under $10,,https://www.yelp.ca/biz/apollo-11-restaurant-toronto,43.673016,-79.414276
Breakfast & Brunch,"626 Queen Street W
Toronto, ON M6J 1E4",Cafe Nuna,(416) 203-0458,Under $10,cafenunatoronto.ca,https://www.yelp.ca/biz/cafe-nuna-toronto-8,43.647068,-79.405689
Breakfast & Brunch,"671 St. Clair Avenue W
Toronto, ON M6C 1A7",CocoaLatte,(416) 792-8696,$11-30,cocoalatte.ca,https://www.yelp.ca/biz/cocoalatte-toronto,43.681689,-79.425049
Breakfast & Brunch,"817 Gerrard Street E
Toronto, ON M4M 1Y8",Mad Dog Cafe,(416) 778-0303,$11-30,,https://www.yelp.ca/biz/mad-dog-cafe-toronto,43.667038,-79.344678
Breakfast & Brunch,"21 Davisville Avenue
Toronto, ON M4S 1G3",Flaming Stove,(416) 644-5051,Under $10,,https://www.yelp.ca/biz/flaming-stove-toronto,43.698282,-79.395814
Breakfast & Brunch,"962 College Street
Toronto, ON M6H 1A5",Aziza Cafe,(416) 516-9909,$11-30,azizacafe.ca,https://www.yelp.ca/biz/aziza-cafe-toronto,43.6534,-79.427324
Breakfast & Brunch,"3456 Bathurst Street
Toronto, ON M6A 2C3",Pantry Foods,(416) 785-0996,$11-30,pantryfoods.ca,https://www.yelp.ca/biz/pantry-foods-toronto,43.72813,-79.43202
Breakfast & Brunch,"983 Dovercourt Road
Toronto, ON M6H 2X6",Hub Coffee,(416) 901-1811,Under $10,hubcoffeehouse.com,https://www.yelp.ca/biz/hub-coffee-toronto,43.666871,-79.431551
Breakfast & Brunch,"889 Queen Street E
Toronto, ON M4M 1J4",Purple Penguin Cafe,(416) 465-8448,Under $10,purplepenguincafe.com,https://www.yelp.ca/biz/purple-penguin-cafe-toronto,43.660522,-79.342412
Breakfast & Brunch,"553 Church Street
Toronto, ON M4Y 2E2",Smith,(416) 926-2501,$11-30,smithrestaurant.com,https://www.yelp.ca/biz/smith-toronto,43.666992,-79.381329
Breakfast & Brunch,"457 King Street E
Toronto, ON M5A 1L6",Morning Glory Cafe,(416) 703-4728,$11-30,morningglorycafe.ca,https://www.yelp.ca/biz/morning-glory-cafe-toronto,43.653884,-79.361051
Breakfast & Brunch,"633 Logan Avenue
Toronto, ON M4K 3C4",Riverdale Perk Cafe,(416) 462-3538,$11-30,,https://www.yelp.ca/biz/riverdale-perk-cafe-toronto-2,43.671256,-79.346709
Breakfast & Brunch,"230 Augusta Avenue
Toronto, ON M5T 2L6",Film Cafe by Eative,(416) 890-9079,Under $10,eative.ca,https://www.yelp.ca/biz/film-cafe-by-eative-toronto,43.655074,-79.402431
Breakfast & Brunch,"2 Follis Avenue
Toronto, ON M6G 1S3",El Pocho Antojitos Bar,(647) 794-7115,$11-30,elpocho.ca,https://www.yelp.ca/biz/el-pocho-antojitos-bar-toronto,43.669641,-79.413426
Breakfast & Brunch,"111 Queen's Park
Toronto, ON M5S 2C7",A La Carte at the Gardiner,(416) 586-8086,$31-60,alacartebistro.com,https://www.yelp.ca/biz/a-la-carte-at-the-gardiner-toronto,43.668018,-79.393821
Breakfast & Brunch,"1606 Danforth Avenue
Toronto, ON M4C",Bus Terminal Diner,(416) 463-4680,$11-30,,https://www.yelp.ca/biz/bus-terminal-diner-toronto,43.683729,-79.323118
Breakfast & Brunch,"3 Charles Street E
Toronto, ON M4Y 1R9",Wish,(416) 935-0240,$11-30,wishintoronto.com,https://www.yelp.ca/biz/wish-toronto,43.668639,-79.385706
Breakfast & Brunch,"382 Keele Street
Toronto, ON M6P 2K8",Wilder Foods,(647) 709-0588,$11-30,wilderfood.ca,https://www.yelp.ca/biz/wilder-foods-toronto,43.665724,-79.464814
Breakfast & Brunch,"4679 Yonge Street
Toronto, ON M2N 5M3",Oliva,(416) 225-4679,Under $10,olivaeats.com,https://www.yelp.ca/biz/oliva-toronto-2,43.758442,-79.409786
Breakfast & Brunch,"1030 St Clair W
Toronto, ON M6E 1A4",Lox + Schmear,(647) 349-8777,Under $10,loxandschmear.com,https://www.yelp.ca/biz/lox-schmear-toronto,43.679173,-79.438268
Breakfast & Brunch,"2463 Yonge Street
Toronto, ON M4P 2H6",Good Bite Restaurant,(416) 483-8432,Under $10,goodbite.ca,https://www.yelp.ca/biz/good-bite-restaurant-toronto,43.711486,-79.399012
Breakfast & Brunch,"1265 Queen Street W
Toronto, ON M6K 1L4",Mythology Diner,,$31-60,mythologydiner.com,https://www.yelp.ca/biz/mythology-diner-toronto-2,43.641597,-79.431304
Breakfast & Brunch,"862 Danforth Avenue
Toronto, ON M4J 1L7",Motorama Restaurant,(416) 461-6968,Under $10,,https://www.yelp.ca/biz/motorama-restaurant-toronto,43.680017,-79.340132
Breakfast & Brunch,"1164 Yonge Street
Toronto, ON M4W 2L9",Rosedale Diner,(416) 923-3122,$11-30,rosedalediner.com,https://www.yelp.ca/biz/rosedale-diner-toronto,43.680359,-79.391225
Breakfast & Brunch,"27 Carlton Street
Toronto, ON M5B 1L2",Cora’s Breakfast and Lunch,(416) 340-1350,$11-30,chezcora.com,https://www.yelp.ca/biz/coras-breakfast-and-lunch-toronto-2,43.661293,-79.381213
Breakfast & Brunch,"1556 Bloor Street W
Toronto, ON M6P 1A4",Enigma Cafe and Restaurant,(647) 346-5511,$11-30,,https://www.yelp.ca/biz/enigma-cafe-and-restaurant-toronto-2,43.656303,-79.453358
