Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Japanese,"2437 Finch Avenue W
Toronto, ON M9M 2E7",Malado Sushi,(416) 741-9728,$11-30,,https://www.yelp.ca/biz/malado-sushi-toronto,43.749727,-79.549748
Japanese,"26 Baldwin Street
Toronto, ON M5T 1L2",Momo San,(416) 901-8892,$31-60,momosan.ca,https://www.yelp.ca/biz/momo-san-toronto,43.656139,-79.393385
Japanese,"260 Manitoba Street
Toronto, ON M8Y 0A7",Mashita Sushi,(647) 341-8822,$11-30,mashitasushi.com,https://www.yelp.ca/biz/mashita-sushi-toronto,43.624166,-79.490063
Japanese,"262 Queens Quay W
Unit 5
Toronto, ON M5V 3A7",Gonoe Sushi,(416) 204-1799,$11-30,,https://www.yelp.ca/biz/gonoe-sushi-toronto-2,43.639211,-79.385878
Japanese,"331 Spadina Ave
Toronto, ON M5T 2E9",August 8,(416) 597-2288,$11-30,august8.ca,https://www.yelp.ca/biz/august-8-toronto,43.654614,-79.398629
Japanese,"891 Bay Street
Toronto, ON M5S 3K5",Sushi Box,(416) 800-6464,$11-30,,https://www.yelp.ca/biz/sushi-box-toronto,43.664711,-79.386961
Japanese,"81 Yorkville Avenue
Toronto, ON M5R 1C1",KOKO! Share Bar,(416) 850-6135,$31-60,kokosharebar.com,https://www.yelp.ca/biz/koko-share-bar-toronto,43.670948,-79.391502
Japanese,"171 King Street E
Toronto, ON M5A 1J4",Hiro Sushi Restaurant,(416) 304-0550,$31-60,,https://www.yelp.ca/biz/hiro-sushi-restaurant-toronto,43.650511,-79.371451
Japanese,"396 Church St
Toronto, ON M5B 2A2",KINTON RAMEN,(647) 348-8555,$11-30,kintonramen.com,https://www.yelp.ca/biz/kinton-ramen-toronto-16,43.660522,-79.378806
Japanese,"Food Court At Aura
384 Yonge Street
Unit 57
Toronto, ON M5B 1S8",Sushi & BBbop,(647) 557-3922,$11-30,sushiandbbbop.com,https://www.yelp.ca/biz/sushi-and-bbbop-toronto,43.659154,-79.382143
Japanese,"358 Gerrard Street E
Toronto, ON M5A 2H4",Qi Sushi,(416) 929-8989,$11-30,,https://www.yelp.ca/biz/qi-sushi-toronto,43.662553,-79.364269
Japanese,"90 Eglinton Ave E
#108
Toronto, ON M4P 2Y3",KINTON RAMEN,(647) 340-5933,$11-30,kintonramen.com,https://www.yelp.ca/biz/kinton-ramen-toronto-17,43.707609,-79.395865
Japanese,"5051 Yonge Street
Toronto, ON M2N 5P2",Konjiki Ramen,(647) 350-7766,$11-30,konjikiramen.com,https://www.yelp.ca/biz/konjiki-ramen-toronto,43.767033,-79.411927
Japanese,"126 Willowdale Avenue
Toronto, ON M2N 4Y2",Inakaya,(416) 224-8881,$31-60,,https://www.yelp.ca/biz/inakaya-toronto,43.765084,-79.40045
Japanese,"493 Bloor St W
Toronto, ON M5S 1Y2",New Generation Sushi,(416) 963-8861,$11-30,,https://www.yelp.ca/biz/new-generation-sushi-toronto,43.665723,-79.407884
Japanese,"690 College Street
Toronto, ON M6G 1C1",Ryoji Ramen & Izakaya,(416) 533-8083,$11-30,ryojitoronto.com,https://www.yelp.ca/biz/ryoji-ramen-and-izakaya-toronto,43.655419,-79.417775
Japanese,"294 Dundas Street W
Toronto, ON M5T 1G2",Salmon Lovers,(416) 591-8697,$11-30,salmonloverstoronto.com,https://www.yelp.ca/biz/salmon-lovers-toronto,43.654441,-79.390885
Japanese,"3459 Bathurst Street
Toronto, ON M6A 2C5",Umami Sushi,(416) 782-3375,$11-30,umamisushi.ca,https://www.yelp.ca/biz/umami-sushi-toronto,43.728621,-79.431533
Japanese,"2209 Queen Street E
Toronto, ON M4E 1E8",Japango Sushi & Noodle Restaurant,(416) 690-5959,$11-30,,https://www.yelp.ca/biz/japango-sushi-and-noodle-restaurant-toronto,43.670755,-79.296268
Japanese,"1345 Queen Street W
Toronto, ON M6K 1L8",A+ Sushi & Bibim,(416) 588-9988,$11-30,,https://www.yelp.ca/biz/a-sushi-and-bibim-toronto,43.640964,-79.434322
Japanese,"2384 Bloor Street W
Toronto, ON M6S 1P5",Yumi Japanese Restaurant,(416) 766-3293,$11-30,,https://www.yelp.ca/biz/yumi-japanese-restaurant-toronto,43.650062,-79.482426
Japanese,"550 Queens Quay W
Unit 11
Toronto, ON M5V 3M8",Iruka Sushi,(647) 350-5722,$11-30,irukasushi.com,https://www.yelp.ca/biz/iruka-sushi-toronto,43.636936,-79.396641
Japanese,"30 Eglinton Ave. E
Toronto, ON M4P 1A6",Sushi Mori,(647) 350-7155,$11-30,sushi-mori.ca,https://www.yelp.ca/biz/sushi-mori-toronto,43.707205,-79.397411
Japanese,"491 Church Street
Toronto, ON M4Y 2C6",Fushimi,(416) 924-8868,$11-30,fushimi.ca,https://www.yelp.ca/biz/fushimi-toronto,43.665187,-79.380587
Japanese,"562 Kipling Avenue
Toronto, ON M8Z 5E7",Kumo Japanese Restaurant,(416) 503-8288,$11-30,,https://www.yelp.ca/biz/kumo-japanese-restaurant-toronto-2,43.614473,-79.524631
