Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Kosher,"188 Eglinton Avenue E
Toronto, ON M4P 2X7",Maybes Restaurant,(416) 322-0222,Under $10,,https://www.yelp.ca/adredir?ad_business_id=pIRTaUunW7nM3FI-ElN_Sg&campaign_id=wG5f_FcI0j2lfZr2syk9Uw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fmaybes-restaurant-toronto&request_id=bf99db0d17653c62&signature=4a42213598d75799ca1740ac9f52b5bb372dc63ed3e3ceedece7198cc97e2c21&slot=1,43.70743,-79.391942
Kosher,"3774 Bathurst St.
Toronto, ON M3H 3M6",Pizza Cafe,(416) 633-5678,Under $10,pizzacafe.ca,https://www.yelp.ca/biz/pizza-cafe-toronto,43.737906,-79.434182
Kosher,"844 Sheppard Avenue W
Toronto, ON M3H 2T5",Regina’s Kitchen,(416) 636-6446,,reginaskitchen.ca,https://www.yelp.ca/biz/reginas-kitchen-toronto,43.752804,-79.45247
Kosher,"3020 Bathurst Street
Toronto, ON M6B 3B6",Slice N Bites,(416) 781-1326,$11-30,slicenbites.com,https://www.yelp.ca/biz/slice-n-bites-toronto,43.717948,-79.429643
Kosher,"3543 Bathurst Street
Toronto, ON M6A 2C7",Daiter’s Kitchen Outlet,(416) 711-6101,,,https://www.yelp.ca/biz/daiters-kitchen-outlet-toronto-2,43.730158,-79.432038
Kosher,"3772 Bathurst Street
Toronto, ON M3H 3M6",Amazing Donuts,(416) 398-7546,,amazingdonuts.com,https://www.yelp.ca/biz/amazing-donuts-toronto,43.737671,-79.434157
Kosher,"3522 Bathurst Street
Toronto, ON M6A 2C7",Ba-Li Laffa,(647) 350-2254,$11-30,balilaffa.com,https://www.yelp.ca/biz/ba-li-laffa-toronto,43.729288,-79.432306
Kosher,"1045 Steeles Avenue W
Toronto, ON M2R 2S9",Kosher Grill,(647) 352-7747,,,https://www.yelp.ca/biz/kosher-grill-toronto,43.791855,-79.448207
Laotian,"81 Bloor Street E
Toronto, ON M4W 1A9",Sabai Sabai Kitchen and Bar,(647) 748-4225,$11-30,sabaisabaito.ca,https://www.yelp.ca/biz/sabai-sabai-kitchen-and-bar-toronto-2,43.670453,-79.384722
Laotian,"4 Gladstone Avenue
Toronto, ON M6J 3K6",Lao Thai Restaurant,(416) 855-2028,$11-30,laothairestaurant.net,https://www.yelp.ca/biz/lao-thai-restaurant-toronto-2,43.642792,-79.427495
Latin American,"243 Augusta Ave
Toronto, ON M5T 2L8",Emporium Latino,(416) 351-9646,Under $10,,https://www.yelp.ca/biz/emporium-latino-toronto,43.654849,-79.401962
Latin American,"828 Street Clair Ave W
Toronto, ON M6C 1C1",Mi Tierra Restaurant,(416) 654-8886,$11-30,,https://www.yelp.ca/biz/mi-tierra-restaurant-toronto,43.680755,-79.431095
Latin American,"20 Nugget Avenue
Toronto, ON M1S 3A7",El Pulgarcito,(416) 916-7274,$11-30,,https://www.yelp.ca/biz/el-pulgarcito-toronto-3,43.792812,-79.259135
Latin American,"3220 Yonge Street
Toronto, ON M4N 2L2",Maiz,(647) 341-8555,$11-30,maizlatinfood.ca,https://www.yelp.ca/biz/maiz-toronto-2,43.728769,-79.403545
Latin American,"200 Baldwin Street
Toronto, ON M5T 1L8",Latin Taste,(416) 542-1486,Under $10,,https://www.yelp.ca/biz/latin-taste-toronto,43.655127,-79.401609
Latin American,"3232 Steeles Avenue W
Unit 8
Toronto, ON M3H 5T8",Cuscatlan Latin American Cuisine,(905) 597-0085,$11-30,,https://www.yelp.ca/biz/cuscatlan-latin-american-cuisine-toronto,43.77514,-79.525829
Latin American,"1621 Wilson Road
Toronto, ON M3L 1A5",La Guanaquita,(416) 249-4141,$11-30,,https://www.yelp.ca/biz/la-guanaquita-toronto-2,43.719957,-79.511331
Latin American,"490 Queen Street W
Toronto, ON M5V 2B3",Arepa Café,(416) 362-4111,$11-30,arepacafe.ca,https://www.yelp.ca/biz/arepa-caf%C3%A9-toronto-2,43.647954,-79.400871
Latin American,"1109 Victoria Park Avenue
Toronto, ON M4B 2K2",MEXITACO,(647) 349-6603,$11-30,mexitaco.com,https://www.yelp.ca/biz/mexitaco-toronto-2,43.708814,-79.295977
Latin American,"1229 Bloor Street W
Toronto, ON M6H 1N6",Latin World,,$11-30,latinworldgroceries.com,https://www.yelp.ca/biz/latin-world-toronto,43.658644,-79.44084
Latin American,"9 Milvan Drive
Toronto, ON M9L 1Y8",Plaza Latina,,$11-30,,https://www.yelp.ca/biz/plaza-latina-toronto,43.751235,-79.551973
Latin American,"214 Augusta Avenue
Toronto, ON M5T 2L8",Casamiento,(905) 616-4463,,,https://www.yelp.ca/biz/casamiento-toronto,43.654775,-79.402205
Latin American,"214 Augusta Avenue
Toronto, ON M5T 2L6",El Gordo Fine Foods,,Under $10,,https://www.yelp.ca/biz/el-gordo-fine-foods-toronto,43.654775,-79.402205
Latin American,"490 Queen Street W
Toronto, ON M5V 2B3",Queen Arepa,(416) 362-4111,,arepacafe.ca,https://www.yelp.ca/biz/queen-arepa-toronto,43.648689,-79.385437
Latin American,"176 Yonge Street
Toronto, ON M5C 2L7",Leña Restaurante,(416) 507-3378,$31-60,lenarestaurante.com,https://www.yelp.ca/biz/le%C3%B1a-restaurante-toronto-3,43.651791,-79.380169
Latin American,"485 King Street W
Toronto, ON M5V 1K4",Baro,(416) 363-8388,$31-60,barotoronto.com,https://www.yelp.ca/biz/baro-toronto,43.644902,-79.396937
Latin American,"1885 Eglinton Avenue W
Toronto, ON M6E 2J5",Koricancha Restaurant,(647) 347-0584,$11-30,,https://www.yelp.ca/biz/koricancha-restaurant-toronto,43.695123,-79.451571
Latin American,"2315 Bloor Street W
Toronto, ON M6S 1P1",Bloom Restaurant,(416) 767-1315,$31-60,bloomrestaurant.com,https://www.yelp.ca/biz/bloom-restaurant-toronto,43.650182,-79.479737
Latin American,"631 Bloor Street W
Toronto, ON M6G 1K8",Ave Maria Latin Café,(647) 479-8824,Under $10,avemarialatincafe.com,https://www.yelp.ca/biz/ave-maria-latin-caf%C3%A9-toronto,43.664345,-79.414391
Latin American,"1545 Dupont Street
Toronto, ON M6P 3S6",Cocina de Doña Julia,(416) 536-4577,Under $10,,https://www.yelp.ca/biz/cocina-de-do%C3%B1a-julia-toronto,43.665449,-79.452536
Latin American,"40 Carl Hall Road
Toronto, ON M3K 2C1",Comida Ecuatoriana,,,,https://www.yelp.ca/biz/comida-ecuatoriana-toronto,43.748871,-79.479056
Latin American,"245 Augusta Avenue
Toronto, ON M5T 1M5",Jumbo Empanadas,(416) 977-0056,Under $10,jumboempanadas.ca,https://www.yelp.ca/biz/jumbo-empanadas-toronto,43.654868,-79.402146
Latin American,"887 Wilson Avenue
Toronto, ON M3K 1E6",La Pupusa Loka,(416) 398-5652,$11-30,,https://www.yelp.ca/biz/la-pupusa-loka-toronto,43.730319,-79.466748
Latin American,"536 Queen Street W
Toronto, ON M5V 2B5",La Hefa,(647) 572-9784,Under $10,,https://www.yelp.ca/biz/la-hefa-toronto,43.647639,-79.40254
Latin American,"2892 Dufferin Street
Toronto, ON M6B 3S7",Tostadas Grill,(647) 349-5520,$11-30,tostadasgrill.com,https://www.yelp.ca/biz/tostadas-grill-toronto,43.707751,-79.453755
Latin American,"489 Danforth Avenue
Toronto, ON M4K 1P5",Mocha Mocha,(416) 778-7896,$11-30,mochamocha.ca,https://www.yelp.ca/biz/mocha-mocha-toronto,43.677932,-79.349325
Latin American,"247 Augusta Ave
Toronto, ON M5T 2L8",Perola Supermarket,(416) 593-9728,$11-30,,https://www.yelp.ca/biz/perola-supermarket-toronto,43.654943,-79.40196
Latin American,"1048 Bathurst Street
Toronto, ON M5R 3G7",Gordo EX Cafe,(416) 894-7905,$11-30,gordoexcafe.com,https://www.yelp.ca/biz/gordo-ex-cafe-toronto,43.672231,-79.414319
Latin American,"689 Bloor Street W
Toronto, ON M6G 1L2",Tacos El Asador,(416) 538-9747,Under $10,,https://www.yelp.ca/biz/tacos-el-asador-toronto,43.663862,-79.416992
Latin American,"2461 St Clair Avenue W
Toronto, ON M6N 1K9",Restaurante Las San Sivar Pupusería,(416) 763-4141,,,https://www.yelp.ca/biz/restaurante-las-san-sivar-pupuser%C3%ADa-toronto,43.668869,-79.483311
