Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Vietnamese,"1119 College St
Toronto, ON M6K",Le’s Sandwich - Banh Mi Viet Nam,(416) 588-4653,Under $10,,https://www.yelp.ca/biz/les-sandwich-banh-mi-viet-nam-toronto,43.652371,-79.433312
Vietnamese,"109 McCaul Street
Toronto, ON M5T 2W7",Pho Express,(416) 506-1594,Under $10,,https://www.yelp.ca/biz/pho-express-toronto-2,43.653816,-79.391154
Vietnamese,"1391 Weston Road
Toronto, ON M6M 2J1",Pho Asia 39,(416) 645-0304,$11-30,,https://www.yelp.ca/biz/pho-asia-39-toronto,43.691824,-79.501332
Vietnamese,"3555 Don Mills Rd
Toronto, ON M2J",Pho Vietnamese Delight,(416) 756-4021,Under $10,,https://www.yelp.ca/biz/pho-vietnamese-delight-toronto,43.77974,-79.348881
Vietnamese,"187 Millwick Drive
Toronto, ON M9L 2X2",Pho 80,(416) 646-2124,Under $10,,https://www.yelp.ca/biz/pho-80-toronto,43.760264,-79.570815
Vietnamese,"332 Spadina Ave
Toronto, ON M5T 2G2",Com Tam Dao Vien Peach Garden Restaurant,(416) 913-3642,,,https://www.yelp.ca/biz/com-tam-dao-vien-peach-garden-restaurant-toronto,43.653871,-79.398839
Vietnamese,"2215 Steeles Avenue W
C4-5
Toronto, ON M3J 3N2",Phomono Vietnamese Cuisine,(416) 736-9777,$11-30,phomono.ca,https://www.yelp.ca/biz/phomono-vietnamese-cuisine-toronto-2,43.785196,-79.477692
Vietnamese,"599 Bloor Street W
Toronto, ON M6G 1K5",Pho Ever,(416) 916-6243,,,https://www.yelp.ca/biz/pho-ever-toronto,43.664603,-79.412934
Vietnamese,"1991 Finch Avenue W
Toronto, ON M3N 2V3",Pho Com Vietnam,(416) 746-8899,Under $10,phocom.ca,https://www.yelp.ca/biz/pho-com-vietnam-toronto,43.756968,-79.519687
Vietnamese,"23 Baldwin St
2nd Fl
Toronto, ON M5T 1L1",Hanoi Bistro,(416) 340-1289,Under $10,,https://www.yelp.ca/biz/hanoi-bistro-toronto,43.655975,-79.39299
Vietnamese,"179 Dundas Street W
Toronto, ON M5G 1Z8",Cali Restaurant,(416) 260-2900,,,https://www.yelp.ca/biz/cali-restaurant-toronto-2,43.655085,-79.38636
Vietnamese,"1226 King St W
Toronto, ON M6K 3M1",Hue’s Kitchen,(416) 536-8668,Under $10,,https://www.yelp.ca/biz/hues-kitchen-toronto-2,43.638888,-79.428144
Vietnamese,"2461 St Clair Avenue W
Toronto, ON M6N 1L2",New York Cafe,(647) 352-9458,,,https://www.yelp.ca/biz/new-york-cafe-toronto-3,43.668926,-79.483398
Vietnamese,"1547 Dupont St
Toronto, ON M6P 3S5",Cafe Chot Nho-Vietnamese Restaurant & Karaoke Bar,(416) 536-7756,,,https://www.yelp.ca/biz/cafe-chot-nho-vietnamese-restaurant-and-karaoke-bar-toronto,43.665248,-79.452578
Vietnamese,"Milliken Wellss Shopping Plaza
250 Alton Tower Circle, Suite C6
Toronto, ON M1R",Pho 88 Viet Thai Cuisine,(416) 299-8899,$11-30,,https://www.yelp.ca/biz/pho-88-viet-thai-cuisine-toronto,43.750071,-79.295849
Vietnamese,"336 Spadina Ave
Toronto, ON M5T 2G2",Tiem Banh Mi Dieu Ky Food,(416) 979-7928,,,https://www.yelp.ca/biz/tiem-banh-mi-dieu-ky-food-toronto,43.653957,-79.398863
Vietnamese,"2721 Jane Street
Unit 12
Toronto, ON M3L 1S3",PHO TIME-Com Tam Thoi Dai,(416) 849-9322,,,https://www.yelp.ca/biz/pho-time-com-tam-thoi-dai-toronto,43.74036,-79.512219
Vietnamese,"207 Ossington Avenue
Toronto, ON M6J 2Z8",Pho Mi Mien Trunt,(416) 531-0498,,,https://www.yelp.ca/biz/pho-mi-mien-trunt-toronto,43.648618,-79.420351
Vietnamese,"477 Richmond St W
Toronto, ON M5V 3E7",Pho-Cafe Tam & Tam,(416) 368-4224,,,https://www.yelp.ca/biz/pho-cafe-tam-and-tam-toronto,43.647365,-79.39819
Vietnamese,"1795 St Clair Ave W
Toronto, ON M6N 1J7",Pho 66,(416) 653-6654,Under $10,,https://www.yelp.ca/biz/pho-66-toronto,43.673259,-79.462629
Vietnamese,"738 Gerrard St E
Toronto, ON M4M 1Y3",Pho Bo Tay Vietnamese Cuisine,(416) 463-7086,,,https://www.yelp.ca/biz/pho-bo-tay-vietnamese-cuisine-toronto,43.666689,-79.347532
Vietnamese,"125 Union Street
Toronto, ON M6N 3N4",N & H Food Company,(416) 653-0468,,nguyenhuong.ca,https://www.yelp.ca/biz/n-and-h-food-company-toronto,43.679559,-79.467975
Waffles,"3276 Midland Avenue
Unit C125
Toronto, ON M1V 0C8",Golden Bubbles,(416) 617-8824,Under $10,goldenbubbles.ca,https://www.yelp.ca/biz/golden-bubbles-toronto-2,43.8052,-79.289643
Waffles,"109 McCaul Street
Unit 28B
Toronto, ON M5T 3K5",Wafflian - Belgian Waffle and Cupcake Bar,(647) 748-5788,$11-30,,https://www.yelp.ca/biz/wafflian-belgian-waffle-and-cupcake-bar-toronto,43.653743,-79.391033
Waffles,"Toronto, ON M5H",Wafel Bar,(416) 434-0911,Under $10,wafelbar.com,https://www.yelp.ca/biz/wafel-bar-toronto,43.650571,-79.384568
Waffles,"37 Sheppard Avenue E
Toronto, ON M2N 7K1",Dazzling Cafe,(647) 723-7300,$11-30,dazzlingcafecanada.com,https://www.yelp.ca/biz/dazzling-cafe-toronto-5,43.761612,-79.409221
Waffles,"Dragon City Centre
280 Spadina Ave
Toronto, ON M5T",Chinese Egg Waffle Vendor,,Under $10,,https://www.yelp.ca/biz/chinese-egg-waffle-vendor-toronto,43.652586,-79.398445
Waffles,"632 Bloor Street W
Toronto, ON M6G 1K7",TeaGather,(647) 348-4832,Under $10,teagather.ca,https://www.yelp.ca/biz/teagather-toronto,43.664507,-79.414575
