Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
American (Traditional),"382 Yonge Street
Unit 8
Toronto, ON M5B 1S8",Duke’s Refresher + Bar,(416) 979-8529,$11-30,dukesrefresher.ca,https://www.yelp.ca/biz/dukes-refresher-bar-toronto,43.659044,-79.383071
American (Traditional),"955 Gerrard Street E
Toronto, ON M4M 1Z4",Maple Leaf Tavern,(416) 465-0955,$31-60,mapleleaftavern.ca,https://www.yelp.ca/biz/maple-leaf-tavern-toronto,43.668182,-79.339783
American (Traditional),"936 Eglinton Avenue W
Toronto, ON M6C 2C2",3 Eggs All Day Pub & Grill,(416) 519-5955,$11-30,3eggsallday.com,https://www.yelp.ca/biz/3-eggs-all-day-pub-and-grill-toronto,43.700519,-79.428463
American (Traditional),"1952 Danforth Avenue
Toronto, ON M4C 1J4",The Groove Bar & Grill,(647) 350-1917,Under $10,,https://www.yelp.ca/biz/the-groove-bar-and-grill-toronto,43.685292,-79.315544
American (Traditional),"250 Adelaide Street W
Toronto, ON M5H 1X6",The Porch Toronto,(647) 344-1234,$11-30,theporchto.com,https://www.yelp.ca/adredir?ad_business_id=dOKk_X3mLpOkDn051v3xUA&campaign_id=HsRpFdxutbx9Y4H8SssV9Q&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fthe-porch-toronto-toronto&request_id=3895d329be700bfb&signature=e9292a096162eaf7d17c1aa1033f335c049290345f32abe31b188812bcd911b5&slot=0,43.648213,-79.389095
American (Traditional),"569 College Street
Toronto, ON M6G 1B2",Reverie at The Park,(416) 533-8841,$31-60,reverieatthepark.com,https://www.yelp.ca/adredir?ad_business_id=5AC2yQzEe3iRGrsJ0at-8g&campaign_id=ib_9ayf8c7Tfb5G9QqHrsg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Freverie-at-the-park-toronto-3&request_id=3895d329be700bfb&signature=9332f14f416333eb002652ee2356b3b74c86939b55af439735ef1c34af857929&slot=1,43.65516,-79.412779
American (Traditional),"1154 Queen Street W
Toronto, ON M6J 1J5",Death & Taxes Free House,(416) 516-2550,$11-30,donnellygroup.ca,https://www.yelp.ca/biz/death-and-taxes-free-house-toronto,43.643079,-79.424937
American (Traditional),"30 Mercer St
Toronto, ON M5V",Victor,(416) 883-3431,$31-60,victorrestaurant.com,https://www.yelp.ca/biz/victor-toronto,43.645746,-79.39079
American (Traditional),"3400 Danforth Ave
Toronto, ON M1L 1E1",Swiss Chalet Rotisserie & Grill,(416) 699-2506,$31-60,swisschalet.com,https://www.yelp.ca/biz/swiss-chalet-rotisserie-and-grill-toronto-22,43.694373,-79.276012
American (Traditional),"686 Queen Street E
Toronto, ON M4M 1H1",Aft Kitchen & Bar,(647) 346-1541,$11-30,aftbar.com,https://www.yelp.ca/biz/aft-kitchen-and-bar-toronto,43.658809,-79.350781
