Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Thai,"1466 Kingston Road
Toronto, ON M1N 1R6",Jatujak,(416) 698-1466,$11-30,jatujak.ca,https://www.yelp.ca/biz/jatujak-toronto,43.68838,-79.270016
Thai,"660 Eglinton Avenue E
Unit 120
Toronto, ON M4G 2K2",Siam Square Hut,(416) 486-7426,$11-30,siamsquarehut.com,https://www.yelp.ca/biz/siam-square-hut-toronto,43.711768,-79.375816
Thai,"1442 Dundas Street W
Toronto, ON M6J 1Y6",Sukho Thai,(416) 792-2432,$11-30,sukhothaifood.ca,https://www.yelp.ca/biz/sukho-thai-toronto-5,43.649711,-79.430286
Thai,"785 Queen Street W
Toronto, ON M6J 1G1",Nana,(647) 352-5745,$11-30,stnnana.com,https://www.yelp.ca/biz/nana-toronto,43.646218,-79.408004
Thai,"133 Roncesvalles Avenue
Toronto, ON M6R 2L2",Thai Home,(416) 534-8424,$11-30,thaihome.ca,https://www.yelp.ca/biz/thai-home-toronto,43.643127,-79.447794
Thai,"570 Bloor Street W
Toronto, ON M6G 1K1",Real Thailand Restaurant,(416) 924-7444,$11-30,realthailand.ca,https://www.yelp.ca/biz/real-thailand-restaurant-toronto-2,43.665259,-79.411885
Thai,"738 Gerrard Street E
Toronto, ON M4M 1Y3",Bach Yen,(647) 347-8160,Under $10,,https://www.yelp.ca/biz/bach-yen-toronto,43.666689,-79.347532
Thai,"105 Church Street
Toronto, ON M5C 2G3",Golden Thai Restaurant,(416) 868-6668,$11-30,goldenthai.ca,https://www.yelp.ca/biz/golden-thai-restaurant-toronto,43.652345,-79.375276
Thai,"490 Front Street E
Toronto, ON M5A 1H7",Sukhothai,(416) 777-2092,,sukhothaifood.ca,https://www.yelp.ca/biz/sukhothai-toronto-2,43.653715,-79.354478
Thai,"2013 Yonge St
Toronto, ON M4S 1Z8",Dee,(647) 344-8838,,deethaito.com,https://www.yelp.ca/biz/dee-toronto,43.701032,-79.396751
Thai,"517 Mount Pleasant Road
Toronto, ON M4S 2M4",Thai Spicy House,(416) 544-9444,$11-30,thaispicyhouse.ca,https://www.yelp.ca/biz/thai-spicy-house-toronto-2,43.701975,-79.387345
Thai,"813 Queen Street W
Toronto, ON M6J",Thai Elephant,(416) 366-3400,$11-30,thaielephant.ca,https://www.yelp.ca/biz/thai-elephant-toronto,43.646029,-79.409053
Thai,"340 Yonge Street
Toronto, ON M5B 1R8",Salad King Restaurant,(416) 593-0333,$11-30,saladking.com,https://www.yelp.ca/biz/salad-king-restaurant-toronto-2,43.657648,-79.381728
Thai,"81 Street Clair Avenue E
Toronto, ON M4T 1M7",New Thai Restaurant,(416) 975-0999,Under $10,newthai.ca,https://www.yelp.ca/biz/new-thai-restaurant-toronto-2,43.688776,-79.390679
Thai,"1551 Dupont Street
Toronto, ON M6P 3S6",Thai Lime,(416) 516-8424,$11-30,thailime.ca,https://www.yelp.ca/biz/thai-lime-toronto,43.665112,-79.452663
