Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Italian,"32 Wellington Street E
Toronto, ON M5E 1C6",Vagabondo Italian Ristorante+Lounge,(416) 862-1999,$11-30,vagabondo.ca,https://www.yelp.ca/biz/vagabondo-italian-ristorante-lounge-toronto,43.64832,-79.375238
Italian,"609 Roehampton Avenue
Unit 02
Toronto, ON M4P 1S7",Tosto Quickfire Pizza Pasta,(416) 322-0609,$11-30,tostoquickfire.ca,https://www.yelp.ca/biz/tosto-quickfire-pizza-pasta-toronto-2,43.711578,-79.378868
Italian,"672b St Clair Avenue W
Toronto, ON M6C 1B1",Vannis Restaurant,(416) 651-1234,$11-30,vannisrestaurant.com,https://www.yelp.ca/biz/vannis-restaurant-toronto,43.681992,-79.425532
Italian,"25 Toronto St
Toronto, ON M5C 2R1",Mirto Italian Restaurant & Bar,(416) 601-9444,$11-30,mirtorestaurant.ca,https://www.yelp.ca/biz/mirto-italian-restaurant-and-bar-toronto,43.650703,-79.376078
Italian,"720 College St
Toronto, ON M6G 1C3",Il Gatto Nero,(416) 536-3132,$11-30,ilgattonero.ca,https://www.yelp.ca/biz/il-gatto-nero-toronto-2,43.655254,-79.418896
Italian,"1528 Danforth Avenue
Toronto, ON M4J 1N4",Gerrard Pizza,(416) 463-7792,$11-30,gerrardpizza.com,https://www.yelp.ca/biz/gerrard-pizza-toronto,43.683323,-79.3248
Italian,"679 Mt Pleasant Road
Toronto, ON M4S",Viva Napoli,(647) 344-8482,$11-30,vivanapolipizza.com,https://www.yelp.ca/biz/viva-napoli-toronto,43.705759,-79.388925
Italian,"319 King Street W
Toronto, ON M5V 1J5",La Fenice,(416) 585-2377,$31-60,lafenice.ca,https://www.yelp.ca/biz/la-fenice-toronto,43.646305,-79.390699
Italian,"3363 Yonge St
Toronto, ON M4N 2M6",Coppi Ristorante,(416) 484-4464,$31-60,coppiristorante.com,https://www.yelp.ca/biz/coppi-ristorante-toronto,43.731677,-79.403546
Italian,"93 Front Street E
Toronto, ON M5E 1C3",St Lawrence Pizza & Ice Cream,(416) 368-3479,Under $10,,https://www.yelp.ca/biz/st-lawrence-pizza-and-ice-cream-toronto,43.649052,-79.371774
Italian,"1654 St Clair Avenue W
Toronto, ON M6N 1H8",Sidewalk,(416) 551-4565,,sidewalkpizzeria.com,https://www.yelp.ca/biz/sidewalk-toronto,43.674876,-79.457658
Italian,"2622 Yonge Street
Toronto, ON M4P 2J4",Roberto’s Ristorante Italiano,(416) 489-2153,$11-30,,https://www.yelp.ca/biz/robertos-ristorante-italiano-toronto,43.715198,-79.400353
Italian,"1338 Lansdowne Avenue
Toronto, ON M6H 3Z8",Big Ragu,(416) 654-7248,$11-30,thebigragu.com,https://www.yelp.ca/biz/big-ragu-toronto,43.675993,-79.450613
Italian,"19 Baldwin Street
Toronto, ON M5T 1L1",Valens Restaurant,(416) 340-0303,$11-30,valens.ca,https://www.yelp.ca/biz/valens-restaurant-toronto,43.655996,-79.392894
Italian,"3238 Yonge Street
Toronto, ON M4N 2L4",Gamberoni Restaurant,(416) 482-3063,$11-30,,https://www.yelp.ca/biz/gamberoni-restaurant-toronto,43.729503,-79.403561
Italian,"90 Signet Drive
Toronto, ON M9L 1L4",Saggio Italian Eatery & Espresso Bar,(416) 748-7778,,saggio.ca,https://www.yelp.ca/biz/saggio-italian-eatery-and-espresso-bar-toronto,43.761405,-79.54053
Italian,"489 Church Street
Toronto, ON M4Y 2C6",Sambucas On Church,(416) 966-3241,$11-30,sambucas.ca/home,https://www.yelp.ca/biz/sambucas-on-church-toronto,43.665132,-79.380551
