Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Fish & Chips,"749 Broadview Avenue
Toronto, ON M4K 2P6",Off The Hook Gourmet,(416) 465-4356,$11-30,offthehookfishandchips.com,https://www.yelp.ca/biz/off-the-hook-gourmet-toronto,43.675913,-79.358405
Fish & Chips,"3034 Don Mills Road
Toronto, ON M2J 3C1",Harbour Fish and Chips,(416) 492-2822,Under $10,,https://www.yelp.ca/biz/harbour-fish-and-chips-toronto,43.778294,-79.348576
Fish & Chips,"3260 Lake Shore Blvd W
Toronto, ON M8V 1M4",Longbranch Fish And Chips,(416) 252-4477,$11-30,longbranchfandc.com,https://www.yelp.ca/biz/longbranch-fish-and-chips-toronto,43.596984,-79.522526
Fish & Chips,"373 Donlands Avenue
Toronto, ON M4J 3S2",Captain John Donlands Fish and Chips,(416) 422-3474,,donlandsfishchips.com,https://www.yelp.ca/biz/captain-john-donlands-fish-and-chips-toronto,43.692989,-79.342386
Fish & Chips,"2151 St. Clair Avenue W
Toronto, ON M6N 1K5",Halibut House Fish & Chips,(416) 901-7997,$11-30,halibuthouse.ca,https://www.yelp.ca/biz/halibut-house-fish-and-chips-toronto-2,43.670752,-79.473058
Fish & Chips,"1681 Lake Shore Boulevard
Toronto, ON M4L 3W6",Johnny Catch,(416) 694-4599,,,https://www.yelp.ca/biz/johnny-catch-toronto,43.662621,-79.310025
Fish & Chips,"2162 Danforth Avenue
Toronto, ON M4C 1K3",Mike’s Fish & Chips,(416) 429-4665,Under $10,,https://www.yelp.ca/biz/mikes-fish-and-chips-toronto,43.686326,-79.310629
Fish & Chips,"2061 Steeles Avenue W
Toronto, ON M3J 3N3",Snowbowl,(416) 650-0777,,,https://www.yelp.ca/biz/snowbowl-toronto,43.786319,-79.47282
Fish & Chips,"213 Augusta Ave
Toronto, ON M5T 2L4",Something’s Fishy,(416) 260-7493,,,https://www.yelp.ca/biz/somethings-fishy-toronto,43.654171,-79.401556
Fish & Chips,"664 Bloor Street W
Toronto, ON M6G 1L2",Asiya Fish and Chips,,,asiyafishchips.com,https://www.yelp.ca/biz/asiya-fish-and-chips-toronto-2,43.66408,-79.416105
Fish & Chips,"414 Roncesvalles Avenue
Toronto, ON M6R 2J6",Sue’s Thai and Fish & Chips,(416) 535-5470,,suesthaifishandchips.com,https://www.yelp.ca/biz/sues-thai-and-fish-and-chips-toronto,43.651674,-79.451362
Fish & Chips,"1553 Kingston Road
Toronto, ON M1N 1R9",cheers fish and chips,(416) 693-2000,,,https://www.yelp.ca/biz/cheers-fish-and-chips-toronto,43.689638,-79.267678
Fish & Chips,"6 Sanderstead Avenue
Toronto, ON M6E 4X7",Long John Silver,,,,https://www.yelp.ca/biz/long-john-silver-toronto,43.693353,-79.463314
Food Court,"111 Richmond Street W
Toronto, ON M5H 2G4",Assembly Chef’s Hall,(647) 557-5993,$11-30,assemblychefshall.com,https://www.yelp.ca/biz/assembly-chefs-hall-toronto,43.650352,-79.383795
Food Court,"633 Silver Star Boulevard
Unit F8
Toronto, ON M1V",Delicious Paradise Kitchen,(416) 298-6688,Under $10,,https://www.yelp.ca/biz/delicious-paradise-kitchen-toronto,43.821497,-79.299011
Food Court,"Royal Bank Plaza
200 Bay Street
Toronto, ON M5J 2J2",Olly Fresco’s,(416) 203-0444,Under $10,ollyfrescos.ca,https://www.yelp.ca/biz/olly-frescos-toronto,43.646705,-79.380146
Food Court,"5150 Yonge Street
Toronto, ON M2N 6L6",North York City Centre Food Court,,,,https://www.yelp.ca/biz/north-york-city-centre-food-court-toronto,43.768698,-79.413163
