Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Asian Fusion,"491 Church Street
Toronto, ON M4Y 2C6",Regal On Church,(416) 551-4346,,,https://www.yelp.ca/biz/regal-on-church-toronto,43.665186,-79.380534
Asian Fusion,"3250 Midland Avenue
Suite G111
Toronto, ON M1V",Fengying Fusion Cuisine,(647) 926-9999,,,https://www.yelp.ca/biz/fengying-fusion-cuisine-toronto,43.805084,-79.288196
Asian Fusion,"595 Bay St.
Toronto, ON M5G 2C2",Fusia Asian Kitchen,(416) 506-0707,Under $10,,https://www.yelp.ca/biz/fusia-asian-kitchen-toronto,43.656184,-79.383094
Asian Fusion,"3288 Lake Shore Boulevard W
Toronto, ON M8V 1M4",InspirAsian Foods - Temp. CLOSED,(416) 255-1285,,inspirasian.ca,https://www.yelp.ca/biz/inspirasian-foods-toronto,43.598066,-79.518771
Asian Fusion,"1314 Queen Street W
Toronto, ON M6K 1L4",Guu Izakaya Toronto,(647) 351-1314,$11-30,guu-izakaya.com,https://www.yelp.ca/adredir?ad_business_id=L82O1ZFFQfjJxF0_PYWPnA&campaign_id=bqnOeJlvipvCTCiSC-t-yQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fguu-izakaya-toronto-toronto&request_id=e046f8350de017df&signature=e1a705478f6de3c47f083f850730facd5ca4a5f9a5c3288afae92376bbf022da&slot=1,43.641867,-79.43109
Australian,"65 Duncan Street
Toronto, ON M5V 1Z4",Kanga,(416) 324-9174,Under $10,eatkanga.com,https://www.yelp.ca/biz/kanga-toronto-2,43.649908,-79.38926
Australian,"Sunlife Store
C114-150 King Street W
Toronto, ON M5H 3T9",Kanga Aussie Meat Pies,(416) 596-2425,Under $10,eatkanga.com,https://www.yelp.ca/biz/kanga-aussie-meat-pies-toronto-2,43.648118,-79.384403
Australian,"199 Bay Street
Suite C-142
Toronto, ON M5V 1Z4",Kanga Pies,(416) 504-2626,$11-30,eatkanga.com,https://www.yelp.ca/biz/kanga-pies-toronto,43.640197,-79.38399
Austrian,"507 Mount Pleasant Rd
Toronto, ON M4S 2L9",Bread & Butter,(647) 691-4910,Under $10,breadbutter.ca,https://www.yelp.ca/adredir?ad_business_id=U0md3UhNA2123G-vYR9hWQ&campaign_id=lRpaNevl2Y_qCMdX0bfhzA&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fbread-and-butter-toronto&request_id=cbff5657e17492ab&signature=1a3a4f7f7e0f1fb61908098c60eaf7fb2ccc354d621cffd62635cd1e0ccb1a56&slot=1,43.701638,-79.38744
Bangladeshi,"1118 Finch Avenue W
Unit 2
Toronto, ON M3J 3J4",Georgia Restaurant,(416) 907-2200,$11-30,georgia-restaurant.ca,https://www.yelp.ca/adredir?ad_business_id=1PvEnSgdZVZZlH552XUTGg&campaign_id=AHzWUNeCeZnGXA8r8xNcRw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fgeorgia-restaurant-toronto&request_id=6fa0e5350ffc4335&signature=1ab0af2975e4dc2ab63f5562dbaca1c00abd1457b6810f462aeb06d2371e4f36&slot=0,43.767519,-79.475297
