Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Mediterranean,"70 Yorkville Avenue
Toronto, ON M5R 1B9",70 Down,(416) 323-3696,$11-30,70down.ca,https://www.yelp.ca/biz/70-down-toronto-3,43.671353,-79.390966
Mediterranean,"3305 Yonge Street
Toronto, ON M4N 2L8",Mashu Mashu,(416) 477-0442,$31-60,mashumashu.ca,https://www.yelp.ca/biz/mashu-mashu-toronto,43.730204,-79.403292
Mediterranean,"2367 Kingston Road
Toronto, ON M1N 1V1",4u2 Shawarma & Steak,,,,https://www.yelp.ca/biz/4u2-shawarma-and-steak-toronto,43.707403,-79.249924
Mediterranean,"1792 Danforth Avenue
Toronto, ON M4C 1H8",Trecce,(416) 463-2655,$31-60,trecce.ca,https://www.yelp.ca/biz/trecce-toronto,43.684561,-79.318847
Mediterranean,"938 College Street
Toronto, ON M6H 1A4",Via Norte Restaurant,(647) 348-1116,$31-60,vianorterest.com,https://www.yelp.ca/biz/via-norte-restaurant-toronto,43.653749,-79.426249
Mediterranean,"501 Davenport Road
Toronto, ON M4V 1B8",Flor de Sal,(416) 923-2604,$31-60,flordesalrestaurant.ca,https://www.yelp.ca/biz/flor-de-sal-toronto,43.677587,-79.40705
Mediterranean,"1328 Danforth Avenue
Toronto, ON M4J 1M9",Al Mandi,(416) 465-4224,$11-30,almandirestauranttoronto.com,https://www.yelp.ca/biz/al-mandi-toronto,43.682329,-79.329311
Mediterranean,"155 Consumers Road
Toronto, ON M2J",Lara’s Restaurant,(416) 493-2020,,larasrestaurant.com,https://www.yelp.ca/biz/laras-restaurant-toronto,43.773184,-79.332795
Mediterranean,"1795 Victoria Park Avenue
Toronto, ON M1R 1H5",Damas Grill House & Juice Bar,(647) 346-6424,$11-30,,https://www.yelp.ca/biz/damas-grill-house-and-juice-bar-toronto,43.742051,-79.309837
Mediterranean,"940 Danforth Avenue
Toronto, ON M4J 1L9",Efes Bar & Grill,(647) 340-3337,$11-30,,https://www.yelp.ca/biz/efes-bar-and-grill-toronto,43.680348,-79.338415
Mediterranean,"2 Champagne Drive
Toronto, ON M3J 2C5",Suq,(416) 661-8998,,,https://www.yelp.ca/biz/suq-toronto,43.766439,-79.472343
Mediterranean,"120 Bremner Boulevard
Toronto, ON M5J 0A1",Buster’s Sea Cove,(416) 360-7878,$11-30,southcore.ca,https://www.yelp.ca/biz/busters-sea-cove-toronto-3,43.642566,-79.383051
Mediterranean,"115 Front Street
Toronto, ON M5A 4S5",Big Pita,(416) 366-7482,$11-30,,https://www.yelp.ca/biz/big-pita-toronto,43.649476,-79.370749
Mediterranean,"1105 Victoria Park Avenue
Toronto, ON M4B 2K2",Viva Shawarma,(416) 700-6606,Under $10,,https://www.yelp.ca/biz/viva-shawarma-toronto-2,43.708528,-79.295665
Mediterranean,"131 Bremner Boulevard
Toronto, ON M5J 3A7",Pita & Grill,(647) 352-5252,Under $10,pitaandgrill.com,https://www.yelp.ca/biz/pita-and-grill-toronto,43.642272,-79.383329
Mediterranean,"2889 Dufferin Street
Toronto, ON M6B 3S7",Mika Fresh,(647) 427-8945,,mikafresh.ca,https://www.yelp.ca/biz/mika-fresh-toronto,43.708132,-79.453029
Mediterranean,"2180 Steeles Avenue W
Unit 6
Toronto, ON L4K 2Z5",Tamam’s Shawarma,(905) 760-8690,Under $10,,https://www.yelp.ca/biz/tamams-shawarma-toronto,43.78193,-79.493702
