Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Burgers,"1960 Lawrence Avenue E
Unit 3
Toronto, ON M1R 2Z1",Top Gun Steak & Burgers,(416) 792-9440,$11-30,topgunsteak.com,https://www.yelp.ca/biz/top-gun-steak-and-burgers-toronto,43.744609,-79.298341
Burgers,"838 Bloor Street W
Toronto, ON M6G 1M2",Tallboys Craft Beer House,(416) 535-7486,$11-30,tallboyscraft.com,https://www.yelp.ca/biz/tallboys-craft-beer-house-toronto,43.662507,-79.423842
Burgers,"770 Bay Street
Toronto, ON M5G 1N6",Bay Burger,(416) 217-0111,,bayburger.ca,https://www.yelp.ca/biz/bay-burger-toronto-2,43.660137,-79.385869
Burgers,"875 Danforth Avenue
Toronto, ON M4J 1L8",Square-Boy Drive-In,(416) 461-2571,Under $10,,https://www.yelp.ca/biz/square-boy-drive-in-toronto,43.67975,-79.339497
Burgers,"4 Temperance Street
Toronto, ON M5H 1Y4",Planta Burger,(647) 348-7000,$11-30,plantarestaurants.com,https://www.yelp.ca/biz/planta-burger-toronto,43.651099,-79.379162
Burgers,"210 Ossington Avenue
Toronto, ON M6J 2Z9",BQM Burger Shoppe,(416) 850-1919,$11-30,bqmburger.com,https://www.yelp.ca/biz/bqm-burger-shoppe-toronto-5,43.648887,-79.420639
Burgers,"383 Jane Street
Toronto, ON M6S 3Z3",Woody’s Burger Bar and Grill,(416) 761-9900,$11-30,woodysburgers.ca,https://www.yelp.ca/biz/woodys-burger-bar-and-grill-toronto,43.657854,-79.487635
Burgers,"1A-1516 Dundas Street W
Toronto, ON M6K 1T5",The Mutt,(416) 551-9749,$11-30,,https://www.yelp.ca/biz/the-mutt-toronto,43.649819,-79.43261
Burgers,"506 Queen Street E
Toronto, ON M5A 1V2",Flame Shack,(416) 603-3526,Under $10,,https://www.yelp.ca/biz/flame-shack-toronto,43.656905,-79.358665
Burgers,"195 Carlton Street
Toronto, ON M5A",The Irv Gastro Pub,(647) 350-4787,$11-30,theirvpub.ca,https://www.yelp.ca/biz/the-irv-gastro-pub-toronto,43.66354,-79.370583
Burgers,"179 Parliament Street
Toronto, ON M5A 1T1",Big Jack’s Burger Shops,(647) 349-1200,$11-30,bigjacks.ca,https://www.yelp.ca/biz/big-jacks-burger-shops-toronto,43.655867,-79.364378
Burgers,"719 College Street
Toronto, ON M6G 1C2",Burgatory,(647) 348-7467,$11-30,burgatorycanada.com,https://www.yelp.ca/biz/burgatory-toronto,43.655055,-79.418563
