Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Breakfast & Brunch,"1582 Queen Street W
Toronto, ON M6R 1A6",Pete’s Corner Grill,(416) 530-5736,$11-30,,https://www.yelp.ca/biz/petes-corner-grill-toronto,43.639888,-79.440795
Breakfast & Brunch,"1646 Saint Clair Avenue W
Toronto, ON M6N 1H8",D.Kinnas,(647) 748-1626,,,https://www.yelp.ca/biz/d-kinnas-toronto,43.674986,-79.457322
Breakfast & Brunch,"1822 Bloor Street W
Toronto, ON M6P 3K6",Hannah’s Cafe and Bakery,(416) 551-1620,Under $10,hannahscafe.com,https://www.yelp.ca/biz/hannahs-cafe-and-bakery-toronto,43.654121,-79.462764
Breakfast & Brunch,"65 Front Street W
Unit 224
Toronto, ON M5J 1E6",McCafe,(416) 775-3693,Under $10,mcdonalds.ca,https://www.yelp.ca/biz/mccafe-toronto-3,43.644521,-79.381073
Breakfast & Brunch,"384 Royal York Road
Toronto, ON M8Y 2R3",Breakfast Room,(647) 351-7890,$11-30,breakfastroom.ca,https://www.yelp.ca/biz/breakfast-room-toronto-3,43.618801,-79.499673
Breakfast & Brunch,"2116 Danforth Avenue
Toronto, ON M4C 1J9",Brick Farm Breakfast,(416) 421-0797,$11-30,,https://www.yelp.ca/biz/brick-farm-breakfast-toronto,43.686047,-79.311792
Breakfast & Brunch,"69 Front Street E
Toronto, ON M5E 1B5",Le Papillon On Front,(416) 367-0303,$11-30,papillononfront.com,https://www.yelp.ca/biz/le-papillon-on-front-toronto-2,43.648515,-79.373387
Breakfast & Brunch,"855 O'Connor Drive
Toronto, ON M4B 2S7",Nostalgia Coffee Company,(416) 755-3675,$11-30,,https://www.yelp.ca/biz/nostalgia-coffee-company-toronto-2,43.706818,-79.311629
Breakfast & Brunch,"133 Richmond Street W
Toronto, ON M5H 3A9",Kiva’s Bagel Bar,(416) 607-5858,,kivasbagels.ca,https://www.yelp.ca/biz/kivas-bagel-bar-toronto-3,43.650095,-79.384851
Breakfast & Brunch,"1987 Queen St E
Toronto, ON M4L 1J1",The Gastro Pub,(647) 846-8380,$11-30,,https://www.yelp.ca/adredir?ad_business_id=7YmqLsiqjP20G3PtxRjBgg&campaign_id=OngBcT6tqIhcvU8kpXM8lw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fthe-gastro-pub-toronto&request_id=9c6c670062d32f8c&signature=b9ccc53756fa50899f90793e2f382892a008b03c330dffc040f187d64797e75f&slot=0,43.669814,-79.300054
