Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Canadian (New),"200 Victoria Street
Pantages Hotel
Toronto, ON M5B 1T8",Stages Restaurant & Lounge,(416) 945-5468,$31-60,pantageshotel.com/toronto-mar…,https://www.yelp.ca/biz/stages-restaurant-and-lounge-toronto,43.654455,-79.37921
Canadian (New),"477 Church Street
Toronto, ON M4Y 2C6",Church St Garage,(647) 352-5508,$11-30,,https://www.yelp.ca/biz/church-st-garage-toronto,43.664463,-79.380294
Canadian (New),"2153 Weston Road
Toronto, ON M9N 3J2",Bonita Family Restaurant,(416) 241-9488,,,https://www.yelp.ca/biz/bonita-family-restaurant-toronto,43.702542,-79.526118
Canadian (New),"1608 Queen Street E
Toronto, ON M4L 1G2",Beach Shawarma,(647) 932-3271,Under $10,,https://www.yelp.ca/biz/beach-shawarma-toronto,43.666891,-79.316937
Canadian (New),"817 Queen Street W
Toronto, ON M6J 1G1",The Dog’s Bollocks,(647) 350-6496,$11-30,dogsbollockspub.com,https://www.yelp.ca/biz/the-dogs-bollocks-toronto,43.646009,-79.409121
Canadian (New),"1601 Birchmount Road
Toronto, ON M1P 2H6",Kornerstones,(416) 840-4238,$11-30,kornerstones.ca,https://www.yelp.ca/biz/kornerstones-toronto,43.763361,-79.291298
Canadian (New),"220 Bloor St W
Toronto, ON M5S 1W2",Signatures Restaurant,(416) 960-5200,$31-60,,https://www.yelp.ca/biz/signatures-restaurant-toronto,43.668525,-79.396373
Canadian (New),"Queen/Leslie
Leslieville
Toronto, ON M4M",The East Ender,,,,https://www.yelp.ca/biz/the-east-ender-toronto-3,43.663113,-79.333354
Canadian (New),"300 Borough Dr
Toronto, ON M1P 4P5",Milestones Restaurants,(416) 290-0464,$11-30,milestonesrestaurants.com,https://www.yelp.ca/biz/milestones-restaurants-toronto-3,43.776425,-79.258533
Canadian (New),"55 Colborne Street
Toronto, ON M5E 1C6",Switch,(416) 901-9990,,switchtoronto.com,https://www.yelp.ca/biz/switch-toronto,43.649071,-79.374679
Canadian (New),"178 Bathurst Street
Toronto, ON M5V 2R4",The Paddock Tavern,(416) 860-9997,$11-30,thepaddock.ca,https://www.yelp.ca/biz/the-paddock-tavern-toronto,43.646818,-79.404245
Canadian (New),"3330 Pharmacy Avenue
Toronto, ON M1W 3V8",Wynner Grill,(416) 800-9719,$11-30,,https://www.yelp.ca/biz/wynner-grill-toronto,43.804329,-79.331094
Canadian (New),"600 King St West
Toronto, ON M5V 1M3",The Bier Markt,(416) 862-1175,$11-30,thebiermarkt.com,https://www.yelp.ca/biz/the-bier-markt-toronto,43.644859,-79.400005
Canadian (New),"729 Danforth Ave.
Toronto, ON M4J 1L2",Gabby’s on The Danforth,(416) 405-8100,Under $10,gabbys.ca,https://www.yelp.ca/biz/gabbys-on-the-danforth-toronto-2,43.679173,-79.343004
Canadian (New),"101 Yonge Boulevard
Toronto, ON M5M 3G8",Crossroads Diner,(647) 404-0998,,,https://www.yelp.ca/biz/crossroads-diner-toronto,43.735658,-79.408765
Canadian (New),"4823 Steeles Avenue W
Toronto, ON M9L 2W1",Panino Cappuccino,,,,https://www.yelp.ca/biz/panino-cappuccino-toronto,43.771167,-79.541902
Canadian (New),"3 Park Home Avenue
Toronto, ON M2N",Trio Restaurant,(416) 218-3868,$11-30,,https://www.yelp.ca/biz/trio-restaurant-toronto,43.768748,-79.414518
Canadian (New),"Hyatt Hotel Regency
370 King Street W
Toronto, ON M5V 1J9",Mix Bistro,(416) 599-7394,$31-60,,https://www.yelp.ca/biz/mix-bistro-toronto,43.64639,-79.391379
Canadian (New),"75 Lower Simcoe Street
Toronto, ON M5J 3A6",Soco Kitchen and Bar,(416) 637-5465,$11-30,socokitchenandbar.ca,https://www.yelp.ca/biz/soco-kitchen-and-bar-toronto,43.642653,-79.383847
Canadian (New),"Doubletree Hotel
108 Chestnut Street
Toronto, ON M5G 1R3",Hemispheres Restaurant & Bistro,(416) 599-8000,$11-30,hemispheres.com,https://www.yelp.ca/biz/hemispheres-restaurant-and-bistro-toronto,43.65456,-79.385909
Canadian (New),"2409 Yonge Street
Toronto, ON M4P 2E7",Alleycatz Restaurant Jazz Bar,(416) 481-6865,$11-30,alleycatz.ca,https://www.yelp.ca/biz/alleycatz-restaurant-jazz-bar-toronto,43.71036,-79.398705
