Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Turkish,"1808 Eglinton Ave W.
Toronto, ON M6E 2H7",Doy Doy Restaurant,,Under $10,,https://www.yelp.ca/biz/doy-doy-restaurant-toronto,43.696018,-79.449447
Turkish,"1021 Wilson Avenue
Toronto, ON M3K 1G6",Taxim Grill & Bar,(416) 735-3453,,taxim.ca,https://www.yelp.ca/biz/taxim-grill-and-bar-toronto,43.727698,-79.478694
Ukrainian,"343 Jane Street
Toronto, ON M6S 3Z3",Baby Point Lounge,(416) 767-2623,$11-30,babypointlounge.com,https://www.yelp.ca/biz/baby-point-lounge-toronto,43.657334,-79.487371
Vegan,"1056 Bloor St. W
Toronto, ON M6H 1M3",The Hogtown Vegan,(416) 901-9779,$11-30,hogtownvegan.com,https://www.yelp.ca/biz/the-hogtown-vegan-toronto,43.660567,-79.432573
Vegan,"1199 Dundas Street W
Toronto, ON M6J 1X3",Veghed,(416) 841-6673,Under $10,,https://www.yelp.ca/biz/veghed-toronto,43.649299,-79.422447
Vegan,"17 Baldwin Street
Toronto, ON M5T 1L1",Vegetarian Haven,(416) 621-3636,$11-30,vegetarianhaven.com,https://www.yelp.ca/biz/vegetarian-haven-toronto,43.655996,-79.392815
Vegan,"382 College Street
Toronto, ON M5T 1S7",Hogtown Vegan,(416) 546-7900,$11-30,hogtownvegan.com,https://www.yelp.ca/biz/hogtown-vegan-toronto,43.657019,-79.405303
Vegan,"1263 Queen Street W
Toronto, ON M6K 1L4",Doomie’s Toronto,,$11-30,doomiestoronto.com,https://www.yelp.ca/biz/doomies-toronto-toronto,43.641615,-79.431138
Vegan,"1635 Lawrence Avenue W
Toronto, ON M6L 3C9",Mama’s Tofu,(647) 352-8738,Under $10,,https://www.yelp.ca/biz/mamas-tofu-toronto,43.704765,-79.491952
Vegan,"385 Broadview Avenue
Toronto, ON M4K 2M7",Green Earth Vegetarian Cuisine,(416) 778-9199,$11-30,greenearthvegan.com/toronto,https://www.yelp.ca/biz/green-earth-vegetarian-cuisine-toronto,43.666052,-79.352696
Vegan,"3473 Lake Shore Boulevard W
Toronto, ON M8W 1N5",Thrive Organic Kitchen & Café,(416) 252-7700,$11-30,thriveorganic.ca,https://www.yelp.ca/biz/thrive-organic-kitchen-and-caf%C3%A9-toronto,43.595199,-79.530286
Vegan,"147 Spadina Avenue
Toronto, ON M5V 2L7",Fresh on Spadina,(647) 789-5491,$11-30,freshrestaurants.ca,https://www.yelp.ca/biz/fresh-on-spadina-toronto-3,43.648068,-79.395629
