Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Peruvian,"249 Augusta Avenue
Toronto, ON M5T 2L8",Tumi Peruvian Restaurant,,,,https://www.yelp.ca/biz/tumi-peruvian-restaurant-toronto,43.654807,-79.40206
Peruvian,"420A Wellington Street W
Toronto, ON M5V 1E3",Mira,(647) 951-3331,,mirarestaurant.com,https://www.yelp.ca/biz/mira-toronto,43.644047,-79.396366
Peruvian,"807 Saint Clair Avenue W
Toronto, ON M6C 1B9",La Cocina De Dona Luz,(416) 652-7430,$11-30,donaluz.org,https://www.yelp.ca/biz/la-cocina-de-dona-luz-toronto,43.680497,-79.430542
Peruvian,"Downsview Park Merchants Market
40 Carl Hall Road, Booth 212
Toronto, ON M3K 2C1",El Rinconcito Peruano - the Little Peruvian Corner,(647) 504-8334,,,https://www.yelp.ca/biz/el-rinconcito-peruano-the-little-peruvian-corner-toronto,43.749649,-79.477952
Pizza,"1168 Queen Street E
Toronto, ON M4M 1L5",Descendant Detroit Style Pizza,(647) 347-1168,$11-30,descendantdsp.com,https://www.yelp.ca/biz/descendant-detroit-style-pizza-toronto-2,43.662778,-79.33217
Pizza,"176 Wicksteed Avenue
Toronto, ON M4G 4H9",Conspiracy Pizza,(647) 694-3327,$11-30,conspiracypizza.ca,https://www.yelp.ca/biz/conspiracy-pizza-toronto,43.712476,-79.353066
Pizza,"169 King Street E
Toronto, ON M5R 1J4",TrueTrue,(647) 350-3228,$11-30,eattruetrue.com,https://www.yelp.ca/biz/truetrue-toronto,43.650348,-79.371305
Pizza,"735 Bloor Street W
Toronto, ON M6G 1L5",Apiecalypse Now!,(416) 516-4555,Under $10,apiecalypsenow.com,https://www.yelp.ca/biz/apiecalypse-now-toronto,43.66335,-79.418562
Pizza,"59 Cameron Street
Toronto, ON M5T 2H1",Maker Pizza,(416) 782-2000,$11-30,makerpizza.com,https://www.yelp.ca/biz/maker-pizza-toronto,43.650091,-79.397982
Pizza,"920 Danforth Avenue
Toronto, ON M4J 1L9",Danforth Pizza House,(416) 463-4927,$11-30,danforthpizza.com,https://www.yelp.ca/biz/danforth-pizza-house-toronto,43.680403,-79.33883
Pizza,"521 Parliament Street
Toronto, ON M4X 1P3",Salt and Tobacco,(647) 348-2993,$11-30,saltandtobacco.com,https://www.yelp.ca/biz/salt-and-tobacco-toronto-2,43.665364,-79.36817
Pizza,"331 Adelaide St W
Toronto, ON M5V 2G5",General Assembly Pizza,,$11-30,gapizza.com,https://www.yelp.ca/biz/general-assembly-pizza-toronto,43.647168,-79.392939
Pizza,"1056 Queen Street E
Toronto, ON M4M 1K5",Queen City Pizza,(416) 466-0888,,queencity.pizza,https://www.yelp.ca/biz/queen-city-pizza-toronto,43.661896,-79.337437
Pizza,"820 The Queensway
Toronto, ON M8Z 1N6",Dino’s Wood Burning Pizza,(416) 259-0050,$11-30,,https://www.yelp.ca/biz/dinos-wood-burning-pizza-toronto,43.625139,-79.508019
Pizza,"8 Gloucester Street
Toronto, ON M4Y 1L5",Olympic 76 Pizza,(416) 960-0092,$11-30,olympic76pizzacafe.com,https://www.yelp.ca/biz/olympic-76-pizza-toronto,43.666748,-79.384736
Pizza,"759 Dovercourt Road
Toronto, ON M6H 2X1",Village Pizza,(647) 748-7737,$11-30,villagepizzato.com,https://www.yelp.ca/biz/village-pizza-toronto,43.661459,-79.429291
Pizza,"1020 Islington Avenue
Unit 17
Toronto, ON M8Z 6A4",Napolitan Brick Oven Pizza,(416) 239-2111,$11-30,napolitanpizza.com,https://www.yelp.ca/biz/napolitan-brick-oven-pizza-toronto-2,43.631521,-79.51824
Pizza,"189 Harbord Street
Toronto, ON M5S 1H5",Pizza Gigi,(416) 535-4444,Under $10,pizzagigi.ca,https://www.yelp.ca/biz/pizza-gigi-toronto,43.661775,-79.408486
Pizza,"962 Danforth Avenue
Toronto, ON M4J 1L8",Big House Pizza,(416) 759-8484,$11-30,bighousepizza.com,https://www.yelp.ca/biz/big-house-pizza-toronto,43.680439,-79.337982
Pizza,"96 Gerrard Street E
Toronto, ON M5B 1G7",Bocconcini Toronto,(416) 977-1836,,bocconcinitoronto.ca,https://www.yelp.ca/biz/bocconcini-toronto-toronto,43.660284,-79.377472
Pizza,"650 1/2 Queen Street W
Toronto, ON M6J 1E4",North of Brooklyn Pizzeria,(647) 352-5700,Under $10,northofbrooklyn.com,https://www.yelp.ca/biz/north-of-brooklyn-pizzeria-toronto,43.646945,-79.406595
Pizza,"386 Bloor Street W
Toronto, ON M5S 1X9",Famoso Neapolitan,(647) 748-2333,$11-30,famoso.ca,https://www.yelp.ca/biz/famoso-neapolitan-toronto,43.666224,-79.40686
Pizza,"456 Queen St W
Toronto, ON M5V 2A8",True True,(416) 901-3433,$11-30,eattruetrue.com,https://www.yelp.ca/biz/true-true-toronto-2,43.648226,-79.399447
Pizza,"761 Dundas Street W
Toronto, ON M6J 1T9",Village Pizza,(416) 551-9939,,villagepizzato.com,https://www.yelp.ca/biz/village-pizza-toronto-2,43.651993,-79.406712
Pizza,"170 University Ave
Toronto, ON M5H 3B3",PI CO.,,,pi-co.ca,https://www.yelp.ca/biz/pi-co-toronto-3,43.648706,-79.385837
Pizza,"1402 Queen Street E
Unit 8
Toronto, ON M4L 1C9",Queen Margherita Pizza,(416) 466-6555,$11-30,qmpizza.com,https://www.yelp.ca/biz/queen-margherita-pizza-toronto-2,43.664969,-79.324168
Pizza,"222 Lansdowne Avenue
Toronto, ON M6K",Albany Pizza,(416) 533-7300,$11-30,albanypizza.ca,https://www.yelp.ca/biz/albany-pizza-toronto-3,43.64906,-79.439435
Pizza,"1308 Bloor Street W
Toronto, ON M6H 1N9",Chito’s Pizza,(416) 530-7777,Under $10,,https://www.yelp.ca/biz/chitos-pizza-toronto,43.658396,-79.44255
Pizza,"184 Ossington Avenue
Toronto, ON M6J 2Z7",Super Point,(416) 519-6996,$11-30,superpoint.ca,https://www.yelp.ca/biz/super-point-toronto,43.648417,-79.42065
Pizza,"949 Gerrard Street E
Toronto, ON M4M 1Z1",Pizza-Pide,(416) 462-9666,Under $10,pizzapide.ca,https://www.yelp.ca/biz/pizza-pide-toronto,43.668019,-79.340489
Pizza,"772 Dundas Street W
Toronto, ON M6J 1V1",Queen Margherita Pizza,(647) 748-4666,$11-30,qmpizza.com,https://www.yelp.ca/biz/queen-margherita-pizza-toronto-3,43.652103,-79.407461
Pizza,"716 Scarlett Road
Toronto, ON M9P 1W5",Parma Pizza,(416) 241-9888,Under $10,parmapizza.ca,https://www.yelp.ca/biz/parma-pizza-toronto,43.695943,-79.520684
Pizza,"656A Spadina Ave
Toronto, ON M5S 2H7",Cora Pizza,(416) 922-1188,Under $10,corapizza.com/en,https://www.yelp.ca/biz/cora-pizza-toronto,43.663326,-79.402613
Pizza,"1537 Avenue Rd
Toronto, ON M5M 3X3",Maker Pizza,,,makerpizza.com,https://www.yelp.ca/biz/maker-pizza-toronto-2,43.722917,-79.415564
Pizza,"235 Spadina Avenue
Toronto, ON M5T 2E2",Big Trouble Pizza,(416) 596-0305,,bigtroublepizza.com,https://www.yelp.ca/biz/big-trouble-pizza-toronto,43.651328,-79.397038
Pizza,"800 Danforth Avenue
Toronto, ON M4J 1L6",Mr Pide,(647) 351-7433,Under $10,mrpide.ca,https://www.yelp.ca/biz/mr-pide-toronto,43.679767,-79.341605
Pizza,"469 Church Street
Toronto, ON M4Y 2C5",North of Brooklyn Pizzeria,(647) 980-7990,$11-30,northofbrooklyn.com,https://www.yelp.ca/biz/north-of-brooklyn-pizzeria-toronto-2,43.66439,-79.380368
Pizza,"1210 Yonge Street
Toronto, ON M4T 1W1",Yeahyeahs pizza,(647) 350-0300,,yeahyeahspizza.com,https://www.yelp.ca/biz/yeahyeahs-pizza-toronto,43.681754,-79.391741
Pizza,"1618 Queen St W
Toronto, ON M6R 1A8",CiCi’s Pizza,(416) 533-3311,Under $10,,https://www.yelp.ca/biz/cicis-pizza-toronto,43.639628,-79.442079
Pizza,"654 Spadina Avenue
Toronto, ON M5S 2H7",Papa CEO King Slice,(416) 961-2222,Under $10,papaceo.ca,https://www.yelp.ca/biz/papa-ceo-king-slice-toronto,43.663276,-79.402587
