Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Italian,"295 Adelaide St W
Toronto, ON M5V 1P7",Figo,(647) 748-3446,$31-60,figotoronto.com,https://www.yelp.ca/biz/figo-toronto,43.647663,-79.390419
Italian,"132 Yonge Street
Toronto, ON M5C 1X3",Sud Forno,(416) 955-1100,$11-30,sudforno.com,https://www.yelp.ca/biz/sud-forno-toronto-3,43.650916,-79.378785
Italian,"2150 Yonge Street
Toronto, ON M4S 2A8",Zucca Trattoria,(416) 488-5774,$31-60,zuccatrattoria.com,https://www.yelp.ca/biz/zucca-trattoria-toronto,43.703715,-79.398016
Italian,"2312 Lakeshore Boulevard W
Toronto, ON M8V 1B5",Pizzeria Oro di Napoli,(416) 316-0606,$11-30,,https://www.yelp.ca/biz/pizzeria-oro-di-napoli-toronto,43.617665,-79.487153
Italian,"613 College Street
Toronto, ON M6G",La Forchetta,(416) 534-3100,$31-60,laforchetta.ca,https://www.yelp.ca/biz/la-forchetta-toronto,43.654906,-79.414561
Italian,"595 Bay St.
Toronto, ON M5G 1M6",Mustachio Italian Eatery,(647) 352-8325,Under $10,,https://www.yelp.ca/biz/mustachio-italian-eatery-toronto,43.656184,-79.383094
Italian,"1 Old Mill Drive
Toronto, ON M6S 0A1",Goodfellas,(855) 593-5292,$11-30,goodfellaspizza.ca,https://www.yelp.ca/biz/goodfellas-toronto,43.648243,-79.486623
Italian,"2263 Bloor St W
Toronto, ON M6S 1N8",Queen’s Pasta Cafe,(416) 766-0993,$11-30,queenspastacafe.com,https://www.yelp.ca/biz/queens-pasta-cafe-toronto,43.650588,-79.477914
Italian,"2763 Dundas Street W
Toronto, ON M6P 1Y3",Sorella Toronto,(647) 773-2582,Under $10,,https://www.yelp.ca/biz/sorella-toronto-toronto,43.665144,-79.461494
Italian,"1485 Dupont Street
Toronto, ON M6P 3S2",Defina Wood Fired,(416) 536-4788,,pizzeriadefina.com,https://www.yelp.ca/biz/defina-wood-fired-toronto,43.665823,-79.450227
Italian,"550 Danforth Avenue
Toronto, ON M4K 1P7",Pizzeria Libretto Danforth,(416) 466-0400,$11-30,pizzerialibretto.com,https://www.yelp.ca/biz/pizzeria-libretto-danforth-toronto,43.678554,-79.347584
Italian,"3003 Lake Shore Boulevard W
Toronto, ON M8V 2B3",Cellar Door,(416) 253-0303,$11-30,cellardoorrestaurant.ca,https://www.yelp.ca/biz/cellar-door-toronto,43.600101,-79.507713
Italian,"633 King Street W
Toronto, ON M5V 1M5",Oretta,(416) 944-1932,$31-60,oretta.to,https://www.yelp.ca/biz/oretta-toronto,43.643918,-79.401629
Italian,"297 King Street W
Toronto, ON M5V 1J5",Kit Kat Italian Bar & Grill,(416) 977-4461,$11-30,kitkattoronto.com,https://www.yelp.ca/biz/kit-kat-italian-bar-and-grill-toronto,43.646353,-79.390141
Italian,"155 King St E
Toronto, ON M5C 1G9",Biagio Ristorante,(416) 366-4040,$31-60,biagioristorante.ca/#home,https://www.yelp.ca/biz/biagio-ristorante-toronto-2,43.650185,-79.372256
Italian,"1108 Street Clair Avenue W
Toronto, ON M6E 1A7",CANO Restaurant,(416) 901-3655,$11-30,canorestaurant.com,https://www.yelp.ca/biz/cano-restaurant-toronto,43.678686,-79.440601
Italian,"909 Davenport Road
Toronto, ON M6G 2B7",Annabelle Pasta Bar,,$11-30,annabellerestaurant.com,https://www.yelp.ca/biz/annabelle-pasta-bar-toronto,43.675411,-79.423355
Italian,"3358 Dundas Street W
Toronto, ON M6P 2A4",Tri Resto Pizzeria,(416) 792-7929,$11-30,triresto.com,https://www.yelp.ca/biz/tri-resto-pizzeria-toronto-2,43.665664,-79.482035
Italian,"716 Queen Street W
Toronto, ON M6J 1E9",Sud Forno,(416) 504-7667,$11-30,sudforno.com,https://www.yelp.ca/biz/sud-forno-toronto,43.646303,-79.409004
Italian,"972 College Street W
Toronto, ON M6H 1A5",Giulietta,(416) 964-0606,,giu.ca,https://www.yelp.ca/biz/giulietta-toronto,43.653501,-79.427609
Italian,"665 College St
Toronto, ON M6G 1B7",Vivoli,(416) 536-7575,$11-30,home.vivoli.ca,https://www.yelp.ca/biz/vivoli-toronto,43.655086,-79.41668
Italian,"865 York Mills Road
Toronto, ON M3B 1Y6",Paisano,(416) 222-5487,$11-30,paisanos.ca,https://www.yelp.ca/biz/paisano-toronto,43.754172,-79.349513
Italian,"4923 Dundas Street West
Toronto, ON M9A 1B6",Via Napoli,(647) 348-6612,,,https://www.yelp.ca/biz/via-napoli-toronto,43.648485,-79.528663
Italian,"148 Yorkville Avenue
Toronto, ON M5R 1C2",Il Posto,(416) 968-0469,$31-60,ilposto.ca,https://www.yelp.ca/biz/il-posto-toronto,43.67045,-79.394003
Italian,"3827 Bathurst Street
Toronto, ON M3H 3N1",Paese,(416) 631-6585,$31-60,paeseristorante.com,https://www.yelp.ca/biz/paese-toronto-2,43.739728,-79.43421
Italian,"37 Prince Arthur Avenue
Toronto, ON M5R 1B2",Opus Restaurant,(416) 921-3105,Above $61,opusrestaurant.com,https://www.yelp.ca/biz/opus-restaurant-toronto,43.66924,-79.397204
Italian,"1317 St Clair Avenue West
Toronto, ON M6E 1C2",La Bruschetta Restaurant,(416) 656-8622,$31-60,labru.ca,https://www.yelp.ca/biz/la-bruschetta-restaurant-toronto,43.676429,-79.448798
Italian,"3047 Dundas Street W
Toronto, ON M6P",Bricco Wine Bar,(416) 901-4536,$31-60,briccowinebar.com,https://www.yelp.ca/biz/bricco-wine-bar-toronto,43.665481,-79.471
Italian,"769 Saint Clair Avenue W
Toronto, ON M6C 1B4",Ferro Bar & Cafe,(416) 654-9119,$11-30,ferrobarcafe.ca,https://www.yelp.ca/biz/ferro-bar-and-cafe-toronto,43.680935,-79.428621
Italian,"557 Mount Pleasant Road
Toronto, ON M4S 2M5",Trattotia Gusto,(905) 885-1198,,trattoriagusto.ca/contact-us,https://www.yelp.ca/biz/trattotia-gusto-toronto,43.703111,-79.387698
Italian,"800 Bay Street
Unit 101
Toronto, ON M5S 3A9",Tosto Quickfire Pizza Pasta,(647) 344-8866,$11-30,tostoquickfire.ca,https://www.yelp.ca/biz/tosto-quickfire-pizza-pasta-toronto,43.661136,-79.386409
Italian,"12 Amelia Street
Toronto, ON M4X 1E1",F’Amelia,(416) 323-0666,$31-60,famelia.com,https://www.yelp.ca/biz/famelia-toronto,43.667463,-79.368594
Italian,"1144 Eglinton Avenue W
Toronto, ON M6C 2E2",Via Roma,(416) 783-5829,,viaromaristorante.ca,https://www.yelp.ca/biz/via-roma-toronto-6,43.699638,-79.432542
