Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Chinese,"389 Church Street
Toronto, ON M5B 2A1",Neighbor Wang,(647) 351-8851,$11-30,neighborwang.ca,https://www.yelp.ca/biz/neighbor-wang-toronto-2,43.661527,-79.378849
Chinese,"1077 Wilson Avenue
Unit 7
Toronto, ON M3K 1G7",Panda Chef Wok & Sushi,(416) 551-9966,$11-30,pandachefwoksushi.ca,https://www.yelp.ca/biz/panda-chef-wok-and-sushi-toronto,43.726964,-79.480363
Chinese,"145 King Street W
Toronto, ON M5H 1J8",Modern Wok,(416) 364-3840,Under $10,,https://www.yelp.ca/biz/modern-wok-toronto,43.647469,-79.384193
Chinese,"134 Dundas Street E
Toronto, ON M5B 1E2",Good View Restaurant,(416) 861-0888,$11-30,goodviewrestaurant.ca,https://www.yelp.ca/biz/good-view-restaurant-toronto,43.656824,-79.376174
Chinese,"2270 Keele Street
Toronto, ON M6M 2P5",Chopstixpress,(416) 245-2362,Under $10,2270keele.webs.com,https://www.yelp.ca/biz/chopstixpress-toronto,43.702525,-79.4772
Chinese,"619 Gerrard Street E
Toronto, ON M4M 1Y2",Dumpling House,(416) 901-0288,Under $10,dumplinghouse619.com,https://www.yelp.ca/biz/dumpling-house-toronto-2,43.665689,-79.351097
Chinese,"1468 Victoria Park Avenue
Toronto, ON M4A 2M2",Yummy Garden,(416) 757-2200,$11-30,yummygarden.ca,https://www.yelp.ca/biz/yummy-garden-toronto,43.722483,-79.30202
Chinese,"418 Dundas Street W
Toronto, ON M5T 1G7",Asian Legend,(416) 977-3909,$11-30,asianlegend.ca,https://www.yelp.ca/biz/asian-legend-toronto,43.653862,-79.395197
Chinese,"62 Overlea Boulevard
Toronto, ON M4H",Faley Restaurant,(416) 423-3222,$11-30,faleyrestaurant.ca,https://www.yelp.ca/biz/faley-restaurant-toronto-3,43.70822,-79.343058
Chinese,"339 Spadina Avenue
Toronto, ON M5T 2G3",Papa Spicy,,$11-30,,https://www.yelp.ca/biz/papa-spicy-toronto,43.655101,-79.398599
