Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Greek,"708 Danforth Ave
Toronto, ON M4J 1L1",Akropolis Pastries,(416) 465-8175,Under $10,akropolispastries.com,https://www.yelp.ca/biz/akropolis-pastries-toronto,43.679487,-79.343487
Greek,"722 Pape Avenue
Toronto, ON M4K 3S7",Palace Restaurant,(416) 462-1166,$31-60,palaceonpape.ca,https://www.yelp.ca/biz/palace-restaurant-toronto,43.679834,-79.345478
Greek,"2581 Victoria Park Avenue
Toronto, ON M1T 1A4",Esquire Restaurant,(416) 497-0618,$11-30,esquire-restaurant.com,https://www.yelp.ca/biz/esquire-restaurant-toronto,43.774327,-79.322455
Greek,"337 Danforth Avenue
Toronto, ON M4K 1N7",Village Pie,(416) 546-4444,Under $10,villagepie.ca,https://www.yelp.ca/biz/village-pie-toronto,43.677126,-79.353285
Greek,"109 Mccaul Street
Toronto, ON M5T",Souvlaki House,(416) 351-7231,Under $10,,https://www.yelp.ca/biz/souvlaki-house-toronto,43.653796,-79.391052
Greek,"3080 Bloor Street W
Toronto, ON M8X 1C8",Souvlaki Hut Greek Taverna,(416) 233-2090,$11-30,souvlakihutgreektaverna.com,https://www.yelp.ca/biz/souvlaki-hut-greek-taverna-toronto,43.646919,-79.514307
Greek,"225 King Street W
Toronto, ON M5V 3C3",Penelope Restaurant,(416) 351-9393,$11-30,peneloperestaurant.com,https://www.yelp.ca/biz/penelope-restaurant-toronto,43.646655,-79.388236
Greek,"390 Danforth Ave
Toronto, ON M4K 1P3",Astoria Shish Kebob House,(416) 463-2838,$11-30,astoriashishkebobhouse.com,https://www.yelp.ca/biz/astoria-shish-kebob-house-toronto,43.677568,-79.351884
Greek,"433 Yonge St
Toronto, ON M5B 2J5",Knossos Restaurant,(416) 598-2307,,,https://www.yelp.ca/biz/knossos-restaurant-toronto,43.660918,-79.382577
Greek,"748 Dovercourt Road
Toronto, ON M6H 1K5",Billy’s Souvlaki Place,(416) 535-8629,Under $10,,https://www.yelp.ca/biz/billys-souvlaki-place-toronto,43.66098,-79.429289
Greek,"1647 Queen St W
Toronto, ON M6R 1A9",Gyro Bar!,(647) 350-5977,,gyrobar.ca,https://www.yelp.ca/biz/gyro-bar-toronto-2,43.638688,-79.44582
Greek,"93 Front St E
Toronto, ON M5E",Yianni’s Kitchen,(416) 361-0769,Under $10,,https://www.yelp.ca/biz/yiannis-kitchen-toronto-2,43.649052,-79.371774
