Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Barbeque,"1686 St Clair Avenue W
Toronto, ON M6N 1H8",Churrasqueira Alto Minho,(416) 656-3959,,,https://www.yelp.ca/biz/churrasqueira-alto-minho-toronto-2,43.674809,-79.458632
Barbeque,"Agincourt Plaza
8 Glen Watford Drive
Toronto, ON M1S 2C1",Best Taste BBQ,,,,https://www.yelp.ca/biz/best-taste-bbq-toronto,43.786933,-79.276272
Barbeque,"385 The West Mall
Toronto, ON M9C 1E7",Flamingo’s Restaurant & Bar,(416) 913-9258,,,https://www.yelp.ca/biz/flamingos-restaurant-and-bar-toronto,43.642096,-79.565862
Barbeque,"354 Broadview Avenue
Toronto, ON M4M 2G9",Kam Tat BBQ Restaurant,(416) 461-2253,,,https://www.yelp.ca/biz/kam-tat-bbq-restaurant-toronto,43.665141,-79.352646
Barbeque,"397 Roncesvalles Avenue
Toronto, ON M6R 2N1",BBQ & More,(416) 536-4355,,,https://www.yelp.ca/biz/bbq-and-more-toronto,43.650838,-79.450653
Barbeque,"4465 Sheppard Avenue East
Unit #51
Toronto, ON M1S 4J9",Chickens & Duck BBQ 南雞北鴨,(647) 350-0119,,,https://www.yelp.ca/biz/chickens-and-duck-bbq-%E5%8D%97%E9%9B%9E%E5%8C%97%E9%B4%A8-toronto,43.78794,-79.26581
Barbeque,"38 Karl Fraser Road
Toronto, ON M3C 1P8",McEwan Outdoor BBQ,(416) 444-6262,,,https://www.yelp.ca/biz/mcewan-outdoor-bbq-toronto,43.736258,-79.34515
Barbeque,"1546 Dupont Street
Toronto, ON M6P 3S6",Dupont Bbq Chicken,(416) 536-2905,$11-30,,https://www.yelp.ca/biz/dupont-bbq-chicken-toronto,43.665584,-79.452699
Barbeque,"853 Bloor Street W
Toronto, ON M6G 1M3",West Side Bbq,,,,https://www.yelp.ca/biz/west-side-bbq-toronto,43.662188,-79.423904
Barbeque,"3833 Midland Avenue
Toronto, ON M1V 5L6",New Sun BBQ,(416) 293-7878,Under $10,,https://www.yelp.ca/biz/new-sun-bbq-toronto,43.813658,-79.291422
Barbeque,"4186 Finch Ave E
Unit 21-22
Toronto, ON M1S 5C2",Da Quan BBQ Restaurant,(416) 800-8238,,,https://www.yelp.ca/biz/da-quan-bbq-restaurant-toronto,43.803388,-79.287853
Basque,"1042 St Clair Avenue W
Toronto, ON M6E 1A5",Motivos Restaurant,(416) 652-3855,,,https://www.yelp.ca/biz/motivos-restaurant-toronto,43.67901,-79.438949
Belgian,"178 Baldwin Street
Toronto, ON M5T 1L8",Moo Frites,,Under $10,moofrites.com,https://www.yelp.ca/biz/moo-frites-toronto,43.654821,-79.400751
Belgian,"237 Augusta Avenue
Toronto, ON M5T 2L8",Wafels & More,(647) 608-1364,Under $10,wafelsandmore.ca,https://www.yelp.ca/biz/wafels-and-more-toronto,43.654677,-79.401968
Belgian,"191 King Street E
Toronto, ON M5A 1J5",Le Petit Déjeuner,(416) 703-1560,$11-30,petitdejeuner.ca,https://www.yelp.ca/biz/le-petit-d%C3%A9jeuner-toronto-2,43.650656,-79.370261
Belgian,"361 Yonge Street
Toronto, ON M5B",Wanda’s Belgian Waffles,(416) 205-1000,Under $10,wandaswaffles.com,https://www.yelp.ca/biz/wandas-belgian-waffles-toronto,43.658226,-79.381362
Belgian,"488 College Street
Toronto, ON M6G 1A4",Point Bar,(647) 748-4004,$11-30,pointbar.ca,https://www.yelp.ca/biz/point-bar-toronto,43.656258,-79.409546
Bistros,"18 King Street E
Toronto, ON M5C 1C4",Beerbistro,(416) 861-9872,$11-30,beerbistro.com,https://www.yelp.ca/biz/beerbistro-toronto-3,43.649817,-79.377147
Bistros,"623 Mount Pleasant Road
Toronto, ON M4S 2M9",Birch Bistro,(416) 901-1623,,birchbistro.com,https://www.yelp.ca/biz/birch-bistro-toronto,43.704522,-79.388328
Bistros,"163 Spadina Avenue
1st Floor
Toronto, ON M5V 2A5",Aloette,(416) 260-3444,$31-60,aloetterestaurant.com,https://www.yelp.ca/biz/aloette-toronto-3,43.648539,-79.395937
Bistros,"373 Queen Street W
Toronto, ON M5V 2A4",Peter Pan Bistro,(416) 792-3838,$11-30,peterpanbistro.ca,https://www.yelp.ca/biz/peter-pan-bistro-toronto,43.649307,-79.393574
Bistros,"227 Ossington Avenue
Toronto, ON M6J 2Z8",Restaurant La Banane,(416) 551-6263,Above $61,labanane.ca,https://www.yelp.ca/biz/restaurant-la-banane-toronto,43.649066,-79.420338
Bistros,"948 Eglinton Avenue W
Toronto, ON M6C 2C2",Marron Bistro,(416) 784-0128,$31-60,marronbistro.com,https://www.yelp.ca/biz/marron-bistro-toronto,43.700479,-79.428633
Bistros,"89 Harbord Street
Toronto, ON M5S 1G4",Cafe CanCan,(647) 341-3100,$31-60,cafecancan.com,https://www.yelp.ca/biz/cafe-cancan-toronto,43.662715,-79.403485
Bistros,"1923c Avenue Road
Toronto, ON M5M 4A2",Modo Mio Italian Bistro,(647) 351-6636,$11-30,modomiobistro.ca,https://www.yelp.ca/biz/modo-mio-italian-bistro-toronto,43.733655,-79.419277
Bistros,"1054 Gerrard Street E
Toronto, ON M4M 1K8",Polly Anna,(647) 352-6969,,thepollyanna.ca,https://www.yelp.ca/biz/polly-anna-toronto,43.669235,-79.33609
Bistros,"1190 Dundas Street E
Toronto, ON M4M 0C5",Gare De L’est,(416) 792-1626,$31-60,gdlbrasserie.com,https://www.yelp.ca/biz/gare-de-l-est-toronto,43.665163,-79.341536
Bistros,"555 Dundas Street E
Toronto, ON M5A 2B7",Paintbox Bistro,(647) 748-0555,$11-30,paintboxbistro.ca,https://www.yelp.ca/biz/paintbox-bistro-toronto,43.660088,-79.362925
Bistros,"520 Wellington Street W
Toronto, ON M5V 1E3",Bar Wellington,(416) 341-8880,$11-30,barwellington.ca,https://www.yelp.ca/biz/bar-wellington-toronto,43.643309,-79.399404
Bistros,"7 Riverview Gardens
Toronto, ON M6S 4E4",The Coffee Bouquets,(647) 793-7618,Under $10,thecoffeebouquets.com,https://www.yelp.ca/adredir?ad_business_id=pzIXxUDaYVUFwDq6dUf1bQ&campaign_id=jJO3qmwqnEssdSjKx8euKA&click_origin=search_results&placement=below_search&redirect_url=https%3A%2F%2Fwww.yelp.ca%2Fbiz%2Fthe-coffee-bouquets-toronto&request_id=96d0d6e36bf0de4b&signature=04e674701d96e74cd8093cd7ccad080fccb8c58c647cb7764ba431d794604e54&slot=0,43.648811,-79.48597
Brasseries,"166 Bedford Road
Toronto, ON M5R 2K9",Le Paradis Brasserie Bistro,(416) 921-0995,$11-30,leparadis.com,https://www.yelp.ca/biz/le-paradis-brasserie-bistro-toronto,43.675003,-79.400299
Brasseries,"2197 Bloor Street W
Toronto, ON M6S 1N2",Maison Fou Brasserie,(416) 786-9771,$11-30,maisonfou.ca,https://www.yelp.ca/biz/maison-fou-brasserie-toronto,43.65111,-79.47509
Brasseries,"107 Atlantic Avenue
Suite 100
Toronto, ON M6K 1Y2",The Craft Brasserie & Grille,(416) 535-2337,$11-30,thecraftbrasserie.com,https://www.yelp.ca/biz/the-craft-brasserie-and-grille-toronto,43.639408,-79.42082
Brasseries,"3401 Dufferin Street, Unit 500
Toronto, ON M6A 2T9",Bazille,(416) 780-6640,$11-30,restaurants.nordstrom.com,https://www.yelp.ca/biz/bazille-toronto,43.724684,-79.454173
Brasseries,"488 College Street
Toronto, ON M6G 1A4",Coq of the Walk - Temp. CLOSED,(647) 748-4004,$11-30,coqofthewalk.com,https://www.yelp.ca/biz/coq-of-the-walk-toronto,43.656258,-79.409546
Brasseries,"20 Victoria Street
Toronto, ON M5C",Metropolitan Resto Bar,(416) 868-6748,$11-30,metresto.com,https://www.yelp.ca/biz/metropolitan-resto-bar-toronto,43.649994,-79.37722
Brasseries,"150 York Street
Toronto, ON M5H 3S5",Drake One Fifty,(416) 363-6150,$31-60,drakeonefifty.ca,https://www.yelp.ca/biz/drake-one-fifty-toronto,43.649354,-79.384684
Brasseries,"40 King Street W
Toronto, ON M5H 3Y2",Jammz Bar Bistro & Rotisserie,(416) 364-9740,,,https://www.yelp.ca/biz/jammz-bar-bistro-and-rotisserie-toronto,43.649349,-79.379528
Brazilian,"1209 Dundas Street W
Toronto, ON M6J 1X3",Brasileirissimo Steak House,(416) 537-8988,,,https://www.yelp.ca/biz/brasileirissimo-steak-house-toronto,43.649255,-79.422641
Brazilian,"150 Eglinton Avenue E
Toronto, ON M4P 1E8",Copacabana Brazilian Steak House,(888) 432-6721,$31-60,thecopa.ca,https://www.yelp.ca/biz/copacabana-brazilian-steak-house-toronto,43.707789,-79.393941
Brazilian,"1702 St Clair Avenue W
Toronto, ON M6N",Sabor Brasil,(647) 340-4036,$11-30,,https://www.yelp.ca/biz/sabor-brasil-toronto,43.67465,-79.45931
Brazilian,"1256 Saint Clair Avenue W
Toronto, ON M6E 1B9",Rio 40 Restaurant,(416) 654-6363,$11-30,rio40restaurant.com,https://www.yelp.ca/biz/rio-40-restaurant-toronto,43.677301,-79.446305
Brazilian,"1566 Dundas Street W
Toronto, ON M6K 1T8",Brazil Bakery and Pastry,(416) 531-2888,Under $10,brazilbakery.ca,https://www.yelp.ca/biz/brazil-bakery-and-pastry-toronto,43.649908,-79.434126
