Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
Japanese,"253 King Street N
Waterloo, ON N2J 2Y8",Itamae AYCE Sushi,(519) 886-8688,$11-30,itamaesushi.ca,https://www.yelp.ca/biz/itamae-ayce-sushi-waterloo,43.714041,-79.335012,Waterloo
Sushi Bars,"253 King Street N
Waterloo, ON N2J 2Y8",Itamae AYCE Sushi,(519) 886-8688,$11-30,itamaesushi.ca,https://www.yelp.ca/biz/itamae-ayce-sushi-waterloo,43.714041,-79.335012,Waterloo
