Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
Cambodian,"110 Pony Drive
Newmarket, ON L3Y 7B6",Cambodian Noodle King,(905) 836-4479,Under $10,,https://www.yelp.ca/biz/cambodian-noodle-king-newmarket,44.069601,-79.427725,Newmarket
Hungarian,"200 Main Street S
Newmarket, ON L3Y 3Z2",The Goulash House,(905) 235-7122,$11-30,thegoulashhouse.com,https://www.yelp.ca/biz/the-goulash-house-newmarket,44.053181,-79.4576,Newmarket
