Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude,City
Arabian,"10 Gillingham Drive
Unit 105
Brampton, ON L6X 0G6",Shawarma Queen,(905) 457-6664,Under $10,,https://www.yelp.ca/biz/shawarma-queen-brampton-2,43.703425,-79.78486,Brampton
Mauritius,"22 Main Street South
Unit B
Brampton, ON L6Y 1M8",La Marmite Mauritienne,(647) 701-1667,$11-30,mauritianpot.ca,https://www.yelp.ca/biz/la-marmite-mauritienne-brampton,43.685688,-79.759423,Brampton
