Category,Restaurant Name,Price_Range_Int,google_place_id,google_formatted_address,google_lat,google_lng,google_types
Asian Fusion,Petit Potato,2,ChIJsbSAZSfT1IkRrlWaCHxsyVQ,"10 Ravel Rd #1-2, North York, ON M2H 1S8",43.790632,-79.366067,"ramen_restaurant,tea_house,asian_restaurant,dessert_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Cafe Tibet Bar & Grill,,ChIJq6r7KTQ0K4gRV5dcI8QUaq4,"390 Roncesvalles Ave, Toronto, ON M6R 2M9",43.6508176,-79.4510835,"restaurant,food,point_of_interest,establishment"
Asian Fusion,Sakura Garden,2,ChIJ97Wj_vMyK4gRulB7nrHBsvk,"1921 Avenue Rd, North York, ON M5M 4A2",43.7335214,-79.4192574,"sushi_restaurant,thai_restaurant,asian_restaurant,vegetarian_restaurant,chinese_restaurant,japanese_restaurant,korean_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Seoul Restaurant,1,ChIJJ7OXeJI0K4gRXxDCwnOhfbY,"621 Bloor St W, Toronto, ON M6G 1K8",43.6644156,-79.4140423,"korean_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,AKA-ONI Izakaya,2,ChIJGzc0dgfU1IkRXtQx90hrxEA,"633 Silver Star Blvd #108, Scarborough, ON M1V 5N1",43.8224063,-79.2987176,"japanese_restaurant,ramen_restaurant,sushi_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Idle On Bloor,2,ChIJJTPARAk1K4gRHU1dSyFN7ds,"1063 Bloor St W, Toronto, ON M6H 1M5",43.6602824,-79.4325798,"indian_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Tang Home Style Lamb and Beef,1,ChIJz8LNcFjR1IkRk86zHjdkrGM,"3380 Midland Ave, Scarborough, ON M1V 5B5",43.8092346,-79.2903137,"chinese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Chinese Traditional Buns,1,ChIJUeO2DsM0K4gRvM7DG02jvwM,"536 Dundas St W, Toronto, ON M5T 1H3",43.6528767,-79.3991037,"chinese_restaurant,asian_restaurant,restaurant,point_of_interest,food,establishment"
Asian Fusion,Sushitto On the Road,2,ChIJwVtQs3M1K4gRRZJ0Z4P27O8,"593 College St, Toronto, ON M6G 1B2",43.6550209,-79.4136184,"italian_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Chinese Burger,2,ChIJHbnFP7AtK4gRcl45dH5BwHU,"5 Northtown Way Unit 9, North York, ON M2N 7A1",43.7750304,-79.4140666,"meal_takeaway,restaurant,food,point_of_interest,establishment"
Asian Fusion,Riki Sushi,2,ChIJAQBQK_U0K4gRjl_DmrVAX6U,"833 Bloor St W, Toronto, ON M6G 1M1",43.6624171,-79.4228715,"sushi_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment"
Asian Fusion,Sean’s Twisted,,ChIJq6r-2AoxK4gRf_L3RpK35EE,"1291 Wilson Ave Unit A, North York, ON M3M 3C6",43.7236763,-79.4937869,"asian_restaurant,restaurant,food,point_of_interest,establishment"
