Category,Restaurant Address,Restaurant Name,Restaurant Phone,Restaurant Price Range,Restaurant Website,Restaurant Yelp URL,Restaurant Latitude,Restaurant Longitude
Irish,"221 Carlton Street
Toronto, ON M5A 2L2",Stout Irish Pub,(647) 344-7676,$11-30,stoutirishpub.ca,https://www.yelp.ca/biz/stout-irish-pub-toronto,43.663839,-79.368944
Irish,"49 Yonge St
Toronto, ON M5E 1J1",Irish Embassy Pub & Grill,(416) 866-8282,$11-30,irishembassypub.com,https://www.yelp.ca/biz/irish-embassy-pub-and-grill-toronto,43.648049,-79.377154
Irish,"1301 Queen Street E
Toronto, ON M4L 1C2",The Ceili Cottage,(416) 406-1301,$11-30,ceilicottage.com,https://www.yelp.ca/biz/the-ceili-cottage-toronto,43.663504,-79.328004
Irish,"5140 Dundas St W
Toronto, ON M9A 1C2",St James’s Gate Toronto,(647) 350-5140,$11-30,sjgtoronto.ca,https://www.yelp.ca/biz/st-jamess-gate-toronto-toronto,43.643811,-79.533577
Irish,"141 Danforth Ave
Toronto, ON M4K 1N2",Dora Keogh Irish Pub,(416) 778-1804,$11-30,allens.to/dora,https://www.yelp.ca/biz/dora-keogh-irish-pub-toronto,43.676245,-79.357358
Irish,"156 Front St W
Toronto, ON M5J 2L6",Overdraught Irish Pub,(416) 408-3925,$11-30,theoverdraught.ca,https://www.yelp.ca/biz/overdraught-irish-pub-toronto,43.645282,-79.384304
Irish,"143 Danforth Avenue
Toronto, ON M4K 1N2",Allen’s,(416) 463-3086,$11-30,allens.to,https://www.yelp.ca/biz/allens-toronto,43.676421,-79.357316
Irish,"489 King Street W
Toronto, ON M5V 1K4",Fynn’s of Temple Bar,(416) 586-1331,$11-30,fynnstemplebar.com,https://www.yelp.ca/biz/fynns-of-temple-bar-toronto,43.644757,-79.397152
Irish,"The Sheraton Centre
96 Richmond St W
Toronto, ON M5H 2A3",Quinn’s Steakhouse & Irish Bar,(416) 367-8466,$31-60,quinnssteakhouse.com,https://www.yelp.ca/biz/quinns-steakhouse-and-irish-bar-toronto,43.651089,-79.382919
Irish,"165 E Liberty Street
Toronto, ON M6K 3P6",Brazen Head Irish Pub,(416) 535-8787,$11-30,brazenhead.ca,https://www.yelp.ca/biz/brazen-head-irish-pub-toronto,43.638544,-79.417144
Irish,"803 King Street W
Toronto, ON M5V 1N4",Foggy Dew Irish Pub,(416) 703-4042,$11-30,,https://www.yelp.ca/biz/foggy-dew-irish-pub-toronto,43.642848,-79.407235
Irish,"17 Lower Simcoe
Toronto, ON M5V 3L9",Lucky Clover Sports Pub,(647) 348-5825,$11-30,,https://www.yelp.ca/biz/lucky-clover-sports-pub-toronto,43.641248,-79.383234
